,Entity,Year,tonnes
40,South Africa,261367,19787369761.819996
11,Egypt,210148,5561231355.7699995
0,Algeria,211998,4107869896.1299996
33,Nigeria,202498,3372735176.5399995
23,Libya,134878,1951955718.1300004
29,Morocco,177525,1589225045.9499998
45,Tunisia,185168,808028625.71
48,Zimbabwe,207814,701987856.0400001
1,Angola,134878,623762310.9999999
20,Kenya,134878,410113224.27000004
42,Sudan,128839,353794292.86
17,Ghana,134878,316321491.28
9,Cote d'Ivoire,119250,303413162.84000003
15,Gabon,117292,245703654.03
14,Ethiopia,144601,207190474.39
36,Senegal,117282,203790993.11999995
43,Tanzania,95688,203638081.93
6,Cameroon,134878,194766283.6
47,Zambia,117292,187368599.78000003
30,Mozambique,179452,163105097.57999995
3,Botswana,91747,131552447.39000002
28,Mauritius,134878,102339736.66000001
2,Benin,119250,98792203.58999999
46,Uganda,134878,95059160.01
12,Equatorial Guinea,134878,92146727.45
24,Madagascar,148469,83638600.31000002
18,Guinea,119250,77269714.07999998
31,Namibia,54108,63941324.82000001
27,Mauritania,117292,63673149.28
44,Togo,134878,62673115.9
21,Lesotho,56098,56424722.31
4,Burkina Faso,119250,50218080.94
22,Liberia,134878,47905144.32000001
32,Niger,119250,44106012.92999998
25,Malawi,117292,43051513.269999996
38,Sierra Leone,134878,35859968.78
26,Mali,117292,33149434.390000004
39,Somalia,134878,31190567.700000003
41,South Sudan,111253,29721726.879999995
34,Rwanda,117292,25185419.379999995
10,Djibouti,134878,19174274.46
13,Eritrea,59781,16336482.58
37,Seychelles,109450,14863511.05
7,Chad,117292,14410060.549999999
16,Gambia,134878,12030970.740000002
5,Burundi,117292,10728249.8
19,Guinea-Bissau,134878,9228085.54
8,Comoros,117292,4221082.0200000005
35,Sao Tome and Principe,132928,2954819.58
