,Year,tonnes per region
0,1800,0.0
1,1801,0.0
2,1802,0.0
3,1803,0.0
4,1804,0.0
5,1805,0.0
6,1806,0.0
7,1807,0.0
8,1808,0.0
9,1809,0.0
10,1810,0.0
11,1811,0.0
12,1812,0.0
13,1813,0.0
14,1814,0.0
15,1815,0.0
16,1816,0.0
17,1817,0.0
18,1818,0.0
19,1819,0.0
20,1820,0.0
21,1821,0.0
22,1822,0.0
23,1823,0.0
24,1824,0.0
25,1825,0.0
26,1826,0.0
27,1827,0.0
28,1828,0.0
29,1829,0.0
30,1830,0.0
31,1831,0.0
32,1832,0.0
33,1833,0.0
34,1834,0.0
35,1835,0.0
36,1836,0.0
37,1837,0.0
38,1838,0.0
39,1839,0.0
40,1840,0.0
41,1841,0.0
42,1842,0.0
43,1843,0.0
44,1844,0.0
45,1845,0.0
46,1846,0.0
47,1847,0.0
48,1848,0.0
49,1849,0.0
50,1850,0.0
51,1851,0.0
52,1852,0.0
53,1853,0.0
54,1854,0.0
55,1855,0.0
56,1856,0.0
57,1857,0.0
58,1858,0.0
59,1859,0.0
60,1860,0.0
61,1861,0.0
62,1862,0.0
63,1863,0.0
64,1864,0.0
65,1865,0.0
66,1866,0.0
67,1867,0.0
68,1868,0.0
69,1869,0.0
70,1870,0.0
71,1871,0.0
72,1872,0.0
73,1873,0.0
74,1874,0.0
75,1875,0.0
76,1876,0.0
77,1877,0.0
78,1878,0.0
79,1879,0.0
80,1880,0.0
81,1881,0.0
82,1882,0.0
83,1883,0.0
84,1884,0.0064724480000000004
85,1885,0.010569102
86,1886,0.013461767
87,1887,0.013200423999999999
88,1888,0.021887082000000002
89,1889,0.035090408
90,1890,0.077355589
91,1891,0.075790074
92,1892,0.120093456
93,1893,0.441011838
94,1894,0.584329173
95,1895,0.785468093
96,1896,0.9816055929999999
97,1897,1.079267811
98,1898,1.338811694
99,1899,1.196514788
100,1900,0.495074965
101,1901,0.813764961
102,1902,1.18893134
103,1903,1.614275246
104,1904,1.79037368
105,1905,2.0432964510000002
106,1906,2.282804569
107,1907,2.472094708
108,1908,2.546119377
109,1909,2.852723683
110,1910,3.156030066
111,1911,3.0273952640000004
112,1912,3.147119666
113,1913,3.378304754
114,1914,3.364307276
115,1915,3.3660385760000002
116,1916,3.914470372
117,1917,4.170225479
118,1918,3.9124898559999997
119,1919,3.956299831
120,1920,4.310925484
121,1921,4.2019987190000005
122,1922,3.5442306330000006
123,1923,4.199652627000001
124,1924,4.33699201
125,1925,4.52710645
126,1926,4.8518305139999995
127,1927,4.715814916999999
128,1928,4.873823927
129,1929,4.857098240999999
130,1930,4.43836063
131,1931,3.6238393230000003
132,1932,3.1692550209999997
133,1933,3.36091651
134,1934,3.84737548
135,1935,4.160383411
136,1936,4.391693255
137,1937,4.841039853
138,1938,4.964146841
139,1939,5.176645166999999
140,1940,5.455090887000001
141,1941,5.820501348
142,1942,6.25853766
143,1943,6.392957393999999
144,1944,6.849128592000001
145,1945,6.7126551889999995
146,1946,6.600644708000001
147,1947,6.388524442
148,1948,6.669714935
149,1949,7.1215445619999995
150,1950,7.7730400909999995
151,1951,8.337589578000001
152,1952,8.876995614
153,1953,8.871873938
154,1954,9.141826068000002
155,1955,9.794052314
156,1956,9.930867405999999
157,1957,10.452041032999999
158,1958,11.093187419
159,1959,14.370713816
160,1960,15.098616793000001
161,1961,15.017518619999999
162,1962,14.863511108
163,1963,15.524986144
164,1964,16.303960848000003
165,1965,17.859247972
166,1966,19.300218553999997
167,1967,28.306819315000006
168,1968,36.47507161400001
169,1969,38.423015437999986
170,1970,39.413011391
171,1971,36.531999791
172,1972,34.705005496000005
173,1973,38.830554359999994
174,1974,36.714231792
175,1975,36.752807132000015
176,1976,40.31565011899999
177,1977,41.87832143
178,1978,44.68310268
179,1979,46.26501366400002
180,1980,46.78628681400001
181,1981,45.65849820099999
182,1982,44.988620398
183,1983,43.94056332299999
184,1984,44.49414385099999
185,1985,45.825511215000006
186,1986,44.34102132799999
187,1987,44.777787073
188,1988,45.819669005
189,1989,47.219091847
190,1990,42.73286602900002
191,1991,45.06962472899999
192,1992,43.40394688900001
193,1993,44.585654536999996
194,1994,44.797589022
195,1995,46.462394952
196,1996,46.401629287000006
197,1997,47.49605784100001
198,1998,49.12655596500001
199,1999,49.55643428
200,2000,50.978906434
201,2001,55.662231487
202,2002,56.40138675500001
203,2003,58.85954162699999
204,2004,61.14578847600001
205,2005,60.09265894399999
206,2006,60.574773979
207,2007,59.46400139
208,2008,61.229662741000006
209,2009,59.014659507000005
210,2010,59.62012112099998
211,2011,55.61291184900001
212,2012,57.576867125
213,2013,57.919805948000004
214,2014,60.90070238200001
215,2015,60.78167166500001
216,2016,61.30440406699999
217,2017,62.484590976
