,Year,tonnes
0,1884,21984.0
1,1885,36640.0
2,1886,47632.0
3,1887,47632.0
4,1888,80608.0
5,1889,131904.0
6,1890,296784.0
7,1891,296784.0
8,1892,479984.0
9,1893,1799024.0
10,1894,2432896.0
11,1895,3337904.0
12,1896,4257568.0
13,1897,4777856.0
14,1898,6049264.0
15,1899,5517984.0
16,1900,2330304.0
17,1901,3909488.0
18,1902,5825760.0
19,1903,7895920.0
20,1904,8910848.0
21,1905,10262864.0
22,1906,11717472.0
23,1907,12930256.0
24,1908,13402912.0
25,1909,15385136.0
26,1910,17411328.0
27,1911,16865392.0
28,1912,17953600.0
29,1913,19606064.0
30,1914,19551104.0
31,1915,19606064.0
32,1916,23255408.0
33,1917,25343888.0
34,1918,24724672.0
35,1919,25442816.0
36,1920,28047920.0
37,1921,27978304.0
38,1922,23889280.0
39,1923,28883312.0
40,1924,30414864.0
41,1925,32012368.0
42,1926,34199776.0
43,1927,33609872.0
44,1928,34489232.0
45,1929,35500496.0
46,1930,33309424.0
47,1931,29216736.0
48,1932,26574992.0
49,1933,28491264.0
50,1934,32525328.0
51,1935,35881552.0
52,1936,38981296.0
53,1937,41747616.0
54,1938,43898384.0
55,1939,46770960.0
56,1940,49577584.0
57,1941,53926752.0
58,1942,58686288.0
59,1943,59906400.0
60,1944,66468624.0
61,1945,67362640.0
62,1946,67857280.0
63,1947,67619120.0
64,1948,71371056.0
65,1949,76859728.0
66,1950,85587376.0
67,1951,91215280.0
68,1952,99030592.0
69,1953,100144448.0
70,1954,104204160.0
71,1955,113979712.0
72,1956,118614672.0
73,1957,124477072.0
74,1958,134399184.0
75,1959,144259898.99999997
76,1960,153167877.92
77,1961,158670095.29
78,1962,163191406.58999997
79,1963,173057559.5
80,1964,190406170.81000003
81,1965,209767104.20000002
82,1966,216914341.72000003
83,1967,232604424.68
84,1968,251581830.48999998
85,1969,271792640.29
86,1970,299135560.53999996
87,1971,328020868.81
88,1972,348045113.8699999
89,1973,373462504.74
90,1974,383404011.1500001
91,1975,382812384.32
92,1976,415325928.8
93,1977,428831661.06
94,1978,458155596.0900001
95,1979,494454744.32000005
96,1980,531397600.65000004
97,1981,544019115.5900002
98,1982,567002510.6700001
99,1983,589223574.32
100,1984,643871172.8799996
101,1985,660424931.6999998
102,1986,684865450.15
103,1987,683960863.0299999
104,1988,718800597.14
105,1989,691457809.6799998
106,1990,652375892.8199999
107,1991,682713098.0799999
108,1992,665291229.23
109,1993,705466175.5199999
110,1994,715998030.9000001
111,1995,771438293.8399999
112,1996,789255290.74
113,1997,807337482.36
114,1998,831688432.0399998
115,1999,824908350.26
116,2000,881492032.0100001
117,2001,876462042.9699999
118,2002,881726227.71
119,2003,959302491.1199999
120,2004,1030377004.86
121,2005,1040913933.28
122,2006,1080422752.8799999
123,2007,1122826488.3199997
124,2008,1174488611.8500001
125,2009,1184394339.4799998
126,2010,1189537756.98
127,2011,1193395245.69
128,2012,1210981384.0199997
129,2013,1225640761.4200003
130,2014,1264362049.91
131,2015,1279037144.8299997
132,2016,1300382726.6000001
133,2017,1321262101.76
