,Entity,Year,count_of_disasters
0,All natural disasters,1900,5
1,All natural disasters,1901,2
2,All natural disasters,1902,9
3,All natural disasters,1903,8
4,All natural disasters,1904,2
5,All natural disasters,1905,4
6,All natural disasters,1906,17
7,All natural disasters,1907,5
8,All natural disasters,1908,4
9,All natural disasters,1909,11
10,All natural disasters,1910,15
11,All natural disasters,1911,5
12,All natural disasters,1912,7
13,All natural disasters,1913,5
14,All natural disasters,1914,6
15,All natural disasters,1915,7
16,All natural disasters,1916,2
17,All natural disasters,1917,6
18,All natural disasters,1918,7
19,All natural disasters,1919,4
20,All natural disasters,1920,7
21,All natural disasters,1921,2
22,All natural disasters,1922,6
23,All natural disasters,1923,12
24,All natural disasters,1924,4
25,All natural disasters,1925,6
26,All natural disasters,1926,15
27,All natural disasters,1927,12
28,All natural disasters,1928,17
29,All natural disasters,1929,6
30,All natural disasters,1930,14
31,All natural disasters,1931,12
32,All natural disasters,1932,8
33,All natural disasters,1933,10
34,All natural disasters,1934,9
35,All natural disasters,1935,11
36,All natural disasters,1936,11
37,All natural disasters,1937,7
38,All natural disasters,1938,7
39,All natural disasters,1939,11
40,All natural disasters,1940,17
41,All natural disasters,1941,5
42,All natural disasters,1942,9
43,All natural disasters,1943,12
44,All natural disasters,1944,12
45,All natural disasters,1945,12
46,All natural disasters,1946,15
47,All natural disasters,1947,12
48,All natural disasters,1948,23
49,All natural disasters,1949,20
50,All natural disasters,1950,23
51,All natural disasters,1951,27
52,All natural disasters,1952,24
53,All natural disasters,1953,34
54,All natural disasters,1954,33
55,All natural disasters,1955,30
56,All natural disasters,1956,36
57,All natural disasters,1957,29
58,All natural disasters,1958,23
59,All natural disasters,1959,33
60,All natural disasters,1960,40
61,All natural disasters,1961,28
62,All natural disasters,1962,28
63,All natural disasters,1963,41
64,All natural disasters,1964,60
65,All natural disasters,1965,61
66,All natural disasters,1966,80
67,All natural disasters,1967,70
68,All natural disasters,1968,77
69,All natural disasters,1969,62
70,All natural disasters,1970,77
71,All natural disasters,1971,61
72,All natural disasters,1972,63
73,All natural disasters,1973,60
74,All natural disasters,1974,68
75,All natural disasters,1975,63
76,All natural disasters,1976,91
77,All natural disasters,1977,121
78,All natural disasters,1978,115
79,All natural disasters,1979,120
80,All natural disasters,1980,133
81,All natural disasters,1981,138
82,All natural disasters,1982,153
83,All natural disasters,1983,205
84,All natural disasters,1984,146
85,All natural disasters,1985,165
86,All natural disasters,1986,150
87,All natural disasters,1987,191
88,All natural disasters,1988,200
89,All natural disasters,1989,172
90,All natural disasters,1990,278
91,All natural disasters,1991,228
92,All natural disasters,1992,204
93,All natural disasters,1993,260
94,All natural disasters,1994,246
95,All natural disasters,1995,248
96,All natural disasters,1996,227
97,All natural disasters,1997,261
98,All natural disasters,1998,288
99,All natural disasters,1999,337
100,All natural disasters,2000,411
101,All natural disasters,2001,376
102,All natural disasters,2002,421
103,All natural disasters,2003,360
104,All natural disasters,2004,350
105,All natural disasters,2005,432
106,All natural disasters,2006,401
107,All natural disasters,2007,414
108,All natural disasters,2008,352
109,All natural disasters,2009,344
110,All natural disasters,2010,393
111,All natural disasters,2011,334
112,All natural disasters,2012,346
113,All natural disasters,2013,332
114,All natural disasters,2014,320
115,All natural disasters,2015,380
116,All natural disasters,2016,325
117,All natural disasters,2017,276
118,All natural disasters,2018,282
119,All natural disasters,2019,361
