,Entity,Year,tonnes
8,China,478404,200136494086.1
35,Russia,117292,100589103946.5
17,Japan,291375,62304608196.8
12,India,482436,48557863280.5
14,Iran,225398,16585684216.5
38,South Korea,144613,15786618228.53
36,Saudi Arabia,160105,13843617871.16
13,Indonesia,251937,12430271015.7
19,Kazakhstan,117292,12300616895.0
44,Turkey,296973,9602486274.139997
41,Taiwan,238693,8050965636.82
43,Thailand,165905,7013231542.030001
47,Uzbekistan,117292,6034285830.250002
24,Malaysia,236377,5181419716.839999
29,North Korea,144613,4966052271.319998
31,Pakistan,117292,4360589827.17
46,United Arab Emirates,117292,4154728972.8600006
15,Iraq,185227,3984084086.8600006
48,Vietnam,199287,3016099138.38
33,Philippines,211953,2959759692.42
20,Kuwait,142668,2627361838.9900002
2,Azerbaijan,117292,2471780321.5200005
16,Israel,173668,2221239489.27
45,Turkmenistan,117292,2183172084.7299995
37,Singapore,121207,1936584508.4599996
34,Qatar,136827,1878554596.2200003
40,Syria,171738,1762385573.2300005
11,Hong Kong,146540,1508760365.2199993
4,Bangladesh,117292,1361147179.9400003
30,Oman,107487,1071493410.3900001
3,Bahrain,167875,826530053.7699997
23,Lebanon,169804,634652476.4599999
49,Yemen,134878,619432762.9099998
18,Jordan,134878,614829331.1400001
10,Georgia,117292,593121175.8499998
26,Mongolia,134878,536837014.3800001
27,Myanmar,177525,509541651.38
39,Sri Lanka,134878,436284059.17
6,Brunei,173668,335970645.04
42,Tajikistan,117292,287463209.6700001
1,Armenia,117292,273731871.65
9,Cyprus,134878,270926136.56999993
21,Kyrgyzstan,52117,181734180.22
0,Afghanistan,136827,178502924.76999998
28,Nepal,134878,115699603.44999999
7,Cambodia,125118,105225246.98000002
32,Palestine,56098,48304339.97
22,Laos,125118,36077734.88
25,Maldives,93718,19836856.51
5,Bhutan,95688,13762669.88
