,Year,tonnes
0,1751,0.0
1,1752,0.0
2,1753,0.0
3,1754,0.0
4,1755,0.0
5,1756,0.0
6,1757,0.0
7,1758,0.0
8,1759,0.0
9,1760,0.0
10,1761,0.0
11,1762,0.0
12,1763,0.0
13,1764,0.0
14,1765,0.0
15,1766,0.0
16,1767,0.0
17,1768,0.0
18,1769,0.0
19,1770,0.0
20,1771,0.0
21,1772,0.0
22,1773,0.0
23,1774,0.0
24,1775,0.0
25,1776,0.0
26,1777,0.0
27,1778,0.0
28,1779,0.0
29,1780,0.0
30,1781,0.0
31,1782,0.0
32,1783,0.0
33,1784,0.0
34,1785,0.0
35,1786,0.0
36,1787,0.0
37,1788,0.0
38,1789,0.0
39,1790,0.0
40,1791,0.0
41,1792,0.0
42,1793,0.0
43,1794,0.0
44,1795,0.0
45,1796,0.0
46,1797,0.0
47,1798,0.0
48,1799,0.0
49,1800,0.0
50,1801,0.0
51,1802,0.0
52,1803,0.0
53,1804,0.0
54,1805,0.0
55,1806,0.0
56,1807,0.0
57,1808,0.0
58,1809,0.0
59,1810,0.0
60,1811,0.0
61,1812,0.0
62,1813,0.0
63,1814,0.0
64,1815,0.0
65,1816,0.0
66,1817,0.0
67,1818,0.0
68,1819,0.0
69,1820,0.0
70,1821,0.0
71,1822,0.0
72,1823,0.0
73,1824,0.0
74,1825,0.0
75,1826,0.0
76,1827,0.0
77,1828,0.0
78,1829,0.0
79,1830,0.0
80,1831,0.0
81,1832,0.0
82,1833,0.0
83,1834,0.0
84,1835,0.0
85,1836,0.0
86,1837,0.0
87,1838,0.0
88,1839,0.0
89,1840,0.0
90,1841,0.0
91,1842,0.0
92,1843,0.0
93,1844,0.0
94,1845,0.0
95,1846,0.0
96,1847,0.0
97,1848,0.0
98,1849,0.0
99,1850,0.0
100,1851,0.0
101,1852,0.0
102,1853,0.0
103,1854,0.0
104,1855,0.0
105,1856,0.0
106,1857,0.0
107,1858,436016.0
108,1859,703488.0
109,1860,710816.0
110,1861,549600.0
111,1862,608224.0
112,1863,674176.0
113,1864,637536.0
114,1865,776768.0
115,1866,916000.0
116,1867,227168.0
117,1868,186864.0
118,1869,285792.0
119,1870,175872.0
120,1871,223504.0
121,1872,278464.0
122,1873,278464.0
123,1874,842720.0
124,1875,1791696.0
125,1876,1678112.0
126,1877,1736736.0
127,1878,4136656.0
128,1879,4294208.0
129,1880,4561680.0
130,1881,4620304.0
131,1882,5070976.0
132,1883,5554624.0
133,1884,6118880.0
134,1885,6239792.0
135,1886,6767408.0
136,1887,8071792.0
137,1888,9160000.0
138,1889,11039632.0
139,1890,11973952.0
140,1891,13765648.0
141,1892,14637680.0
142,1893,16088624.0
143,1894,18382288.0
144,1895,21342800.0
145,1896,23024576.0
146,1897,24629408.0
147,1898,29927552.0
148,1899,31085376.0
149,1900,35390576.0
150,1901,41586400.0
151,1902,44209824.0
152,1903,48947376.0
153,1904,54996640.0
154,1905,57451520.0
155,1906,78490208.0
156,1907,84206048.0
157,1908,96267936.0
158,1909,95084464.0
159,1910,94047552.0
160,1911,110132512.0
161,1912,100276352.0
162,1913,110575856.0
163,1914,119420752.0
164,1915,116661760.0
165,1916,126331056.0
166,1917,140221280.0
167,1918,151312208.0
168,1919,168969024.0
169,1920,160428240.0
170,1921,156679968.0
171,1922,165268384.0
172,1923,181569520.0
173,1924,195686912.0
174,1925,197951264.0
175,1926,196778784.0
176,1927,214248736.0
177,1928,223111952.0
178,1929,232850864.0
179,1930,228116976.0
180,1931,214281712.0
181,1932,210562752.0
182,1933,230842992.0
183,1934,259081440.0
184,1935,279380000.0
185,1936,303752928.0
186,1937,323981872.0
187,1938,333145536.0
188,1939,352524432.0
189,1940,394587152.0
190,1941,405355648.0
191,1942,390157376.0
192,1943,383492560.0
193,1944,375527024.0
194,1945,279863648.0
195,1946,260730240.0
196,1947,311260464.0
197,1948,304060704.0
198,1949,380891120.0
199,1950,296003568.0
200,1951,348985008.0
201,1952,390186688.0
202,1953,419956688.0
203,1954,460366944.0
204,1955,525978192.0
205,1956,586932496.0
206,1957,679184688.0
207,1958,961034224.0
208,1959,2253704824.0100007
209,1960,2434700901.479999
210,1961,2318259356.14
211,1962,2312784533.189999
212,1963,2464724236.4600005
213,1964,2609231808.1099997
214,1965,2818479404.3599997
215,1966,3024191694.54
216,1967,3106769262.0600004
217,1968,3334017949.51
218,1969,3659317012.85
219,1970,4160515184.7799993
220,1971,4508856294.030001
221,1972,4758145982.870001
222,1973,5057327630.589998
223,1974,5182770936.890001
224,1975,5443927462.950002
225,1976,5748642952.61
226,1977,6060210915.39
227,1978,6309600748.57
228,1979,6501106059.690001
229,1980,6583558308.69
230,1981,6517028820.859999
231,1982,6706733843.949997
232,1983,6920735892.150001
233,1984,7212480295.9800005
234,1985,7684394403.529999
235,1986,7905693890.009998
236,1987,8259070013.659999
237,1988,8776259702.349998
238,1989,8939789696.4
239,1990,9152031952.970001
240,1991,9327043401.930002
241,1992,9165610789.159998
242,1993,9393447964.089998
243,1994,9502906387.140003
244,1995,9810719672.64
245,1996,10099105984.640001
246,1997,10098914253.55
247,1998,9841442504.26
248,1999,10118839842.080002
249,2000,10533560540.13
250,2001,10732162115.939999
251,2002,11224526647.49
252,2003,12156490570.71
253,2004,13137680101.929996
254,2005,13964195836.630001
255,2006,14859830208.060003
256,2007,15581571056.239998
257,2008,16464969562.199997
258,2009,16951305104.610003
259,2010,18050002329.670006
260,2011,19422713130.22999
261,2012,20084146657.11001
262,2013,20095030688.759995
263,2014,20494201326.189995
264,2015,20599600387.890003
265,2016,20820002309.659996
266,2017,21280851781.930008
