,Year,tonnes per region
0,1800,0.0
1,1801,0.0
2,1802,0.0
3,1803,0.0
4,1804,0.0
5,1805,0.0
6,1806,0.0
7,1807,0.0
8,1808,0.0
9,1809,0.0
10,1810,0.0
11,1811,0.0
12,1812,0.0
13,1813,0.0
14,1814,0.0
15,1815,0.0
16,1816,0.0
17,1817,0.0
18,1818,0.0
19,1819,0.0
20,1820,0.0
21,1821,0.0
22,1822,0.0
23,1823,0.0
24,1824,0.0
25,1825,0.0
26,1826,0.0
27,1827,0.0
28,1828,0.0
29,1829,0.0
30,1830,0.0
31,1831,0.0
32,1832,0.0
33,1833,0.0
34,1834,0.0
35,1835,0.0
36,1836,0.0
37,1837,0.0
38,1838,0.0
39,1839,0.0
40,1840,0.0
41,1841,0.0
42,1842,0.0
43,1843,0.0
44,1844,0.0
45,1845,0.0
46,1846,0.0
47,1847,0.0
48,1848,0.0
49,1849,0.0
50,1850,0.0
51,1851,0.0
52,1852,0.0
53,1853,0.0
54,1854,0.0
55,1855,0.0
56,1856,0.0
57,1857,0.0
58,1858,0.0
59,1859,0.0
60,1860,0.22169853399999997
61,1861,0.389655719
62,1862,0.261560393
63,1863,0.283391306
64,1864,0.18342287100000002
65,1865,0.279922273
66,1866,0.449027138
67,1867,0.560612825
68,1868,0.44739997600000003
69,1869,0.381566733
70,1870,0.348504506
71,1871,0.39142245700000006
72,1872,0.389195996
73,1873,0.46684493899999996
74,1874,0.46609114100000004
75,1875,0.42186777200000003
76,1876,0.46124163
77,1877,0.5180507120000001
78,1878,1.222368012
79,1879,1.710329671
80,1880,2.2775727669999997
81,1881,2.153891515
82,1882,2.348954849
83,1883,2.616801928
84,1884,2.8160056320000004
85,1885,2.976668312
86,1886,2.9728890129999996
87,1887,3.03618261
88,1888,3.324468197
89,1889,3.134365153
90,1890,3.270145445
91,1891,3.451231225
92,1892,3.441630323
93,1893,3.3753698030000003
94,1894,3.519458085
95,1895,3.5401369970000003
96,1896,3.644537686
97,1897,3.846658722
98,1898,4.136501555
99,1899,4.297271576
100,1900,5.708152065
101,1901,6.294860921
102,1902,6.526644119
103,1903,6.501328848
104,1904,6.746397502
105,1905,6.8429721610000005
106,1906,7.602767075999999
107,1907,7.949283567
108,1908,8.146515757
109,1909,7.565860407000001
110,1910,8.649857456
111,1911,8.575969741000002
112,1912,8.901306039
113,1913,8.420457287
114,1914,9.443898306000001
115,1915,8.684080349
116,1916,8.25242267
117,1917,8.164578997
118,1918,8.421164054
119,1919,7.6291674149999995
120,1920,7.691400178
121,1921,6.98001058
122,1922,7.09550882
123,1923,7.248494338
124,1924,7.59560722
125,1925,7.70618734
126,1926,7.616296135000001
127,1927,7.800253024
128,1928,7.413976085
129,1929,7.022032791
130,1930,6.6645934229999995
131,1931,5.797585615999999
132,1932,5.406386402000001
133,1933,5.554504184
134,1934,5.960561773
135,1935,6.4003809369999995
136,1936,6.635718818
137,1937,6.971815056
138,1938,6.699526403
139,1939,7.35545069
140,1940,7.038292820999999
141,1941,7.913661532
142,1942,8.202476557
143,1943,8.099037789
144,1944,7.972376990000001
145,1945,7.724659784
146,1946,7.895064735
147,1947,8.038566232
148,1948,7.961320128
149,1949,7.736691499
150,1950,11.837286362
151,1951,11.885820163999998
152,1952,12.493336653000002
153,1953,11.782444316000001
154,1954,12.702052166
155,1955,14.343921962999998
156,1956,14.45437488
157,1957,14.937756688000002
158,1958,14.845669811
159,1959,15.273818213
160,1960,15.933743617
161,1961,19.797613653
162,1962,20.374267393999997
163,1963,21.404497868
164,1964,28.563785695999997
165,1965,30.029177541000003
166,1966,29.742867182000005
167,1967,33.312479773999996
168,1968,33.472352486999995
169,1969,40.840222461
170,1970,41.41116259
171,1971,47.677992974999995
172,1972,46.834946713
173,1973,49.441766404000006
174,1974,52.706542167
175,1975,52.785739975999995
176,1976,45.545931839999994
177,1977,54.35927729800001
178,1978,48.446201956
179,1979,49.488042609000004
180,1980,54.51376759000001
181,1981,54.746950051
182,1982,54.196324811000004
183,1983,52.477083285999996
184,1984,52.493634357000005
185,1985,53.432070114000005
186,1986,56.644816635
187,1987,56.543059969000005
188,1988,58.120637562
189,1989,61.191363638999995
190,1990,58.05601080899999
191,1991,57.280464938
192,1992,57.672733904000005
193,1993,56.356428555
194,1994,55.555083969
195,1995,55.133480447000004
196,1996,54.850028347
197,1997,55.56673542
198,1998,55.011943722
199,1999,54.989535231999994
200,2000,54.85783823900001
201,2001,55.481956698000005
202,2002,55.28476706400001
203,2003,55.14922455899999
204,2004,55.551793068
205,2005,55.471063313
206,2006,53.672053928
207,2007,53.76121641700001
208,2008,52.906641979
209,2009,51.215517033000005
210,2010,51.47507814299999
211,2011,50.138504033000004
212,2012,50.22133634600001
213,2013,49.849506827999996
214,2014,49.927458740999995
215,2015,52.092763917
216,2016,51.97212809400001
217,2017,53.595120717
