,Year,tonnes
0,1860,278464.0
1,1861,509296.0
2,1862,355408.0
3,1863,399376.0
4,1864,267472.0
5,1865,421360.0
6,1866,696160.0
7,1867,894016.0
8,1868,732800.0
9,1869,641200.0
10,1870,600896.0
11,1871,692496.0
12,1872,707152.0
13,1873,868368.0
14,1874,890352.0
15,1875,828064.0
16,1876,930656.0
17,1877,1066224.0
18,1878,1322704.0
19,1879,1960240.0
20,1880,2861584.0
21,1881,2502512.0
22,1882,2839600.0
23,1883,3352560.0
24,1884,3631024.0
25,1885,4034064.0
26,1886,4067040.0
27,1887,4272224.0
28,1888,4891440.0
29,1889,4737552.0
30,1890,4968384.0
31,1891,5499664.0
32,1892,5653552.0
33,1893,5506992.0
34,1894,5968656.0
35,1895,6214144.0
36,1896,6272768.0
37,1897,6851680.0
38,1898,7635776.0
39,1899,7961872.0
40,1900,12607824.0
41,1901,14179680.0
42,1902,14436160.0
43,1903,14388528.0
44,1904,14978432.0
45,1905,15586656.0
46,1906,18221072.0
47,1907,19562096.0
48,1908,20906784.0
49,1909,18818304.0
50,1910,22339408.0
51,1911,23848976.0
52,1912,25648000.0
53,1913,26604304.0
54,1914,29561152.0
55,1915,26725216.0
56,1916,24310640.0
57,1917,25376864.0
58,1918,27483664.0
59,1919,25867840.0
60,1920,29290016.0
61,1921,26651936.0
62,1922,27905024.0
63,1923,28685456.0
64,1924,31059728.0
65,1925,32323808.0
66,1926,32125952.0
67,1927,33390032.0
68,1928,31004768.0
69,1929,28549888.0
70,1930,26897424.0
71,1931,23786688.0
72,1932,23881952.0
73,1933,25127712.0
74,1934,26681248.0
75,1935,29381616.0
76,1936,31228272.0
77,1937,33239808.0
78,1938,32283504.0
79,1939,36607024.0
80,1940,33800400.0
81,1941,39549216.0
82,1942,41601056.0
83,1943,40362624.0
84,1944,39681120.0
85,1945,38318112.0
86,1946,40956192.0
87,1947,43469696.0
88,1948,43927696.0
89,1949,43260848.0
90,1950,63500784.0
91,1951,67410272.0
92,1952,69788208.0
93,1953,68274976.0
94,1954,77189488.0
95,1955,80417472.0
96,1956,83077536.0
97,1957,85191664.0
98,1958,88166832.0
99,1959,94434090.73
100,1960,100075699.82
101,1961,102731683.79
102,1962,106596995.78
103,1963,113802984.34
104,1964,122883603.64
105,1965,135409838.99
106,1966,135131731.60999998
107,1967,143862686.93
108,1968,149167921.24
109,1969,157699683.46
110,1970,163231372.57
111,1971,169495558.27999997
112,1972,175822114.83
113,1973,191482263.18
114,1974,193715361.32
115,1975,196673316.28
116,1976,195810425.08
117,1977,210822699.28
118,1978,222737034.70999998
119,1979,224567418.69
120,1980,241246194.48999998
121,1981,250350248.84
122,1982,255577142.71
123,1983,246163100.84999996
124,1984,258982728.81
125,1985,266284188.22
126,1986,266043609.30999997
127,1987,283539616.33000004
128,1988,289845750.82
129,1989,306418283.36
130,1990,307604210.0
131,1991,309518808.49999994
132,1992,316644628.68
133,1993,320525085.59999996
134,1994,325675756.52
135,1995,337241001.57000005
136,1996,345609045.65999997
137,1997,356403029.8899999
138,1998,369127915.6
139,1999,379726813.34000003
140,2000,386970735.61
141,2001,397430353.18
142,2002,402294368.19
143,2003,412168425.62
144,2004,426036230.08
145,2005,430600559.26
146,2006,436690478.76
147,2007,445343715.12999994
148,2008,449418778.37
149,2009,450420738.62
150,2010,448792970.38
151,2011,446042441.16
152,2012,450291520.25
153,2013,441761116.87
154,2014,437668871.94
155,2015,448223705.5799999
156,2016,457311565.79
157,2017,459203001.89000005
