,Entity,Year,count_of_disasters
0,Drought,1900,2
74,Drought,1901,0
75,Drought,1902,0
1,Drought,1903,1
76,Drought,1904,0
77,Drought,1905,0
2,Drought,1906,1
78,Drought,1907,0
79,Drought,1908,0
80,Drought,1909,0
3,Drought,1910,9
81,Drought,1911,0
82,Drought,1912,0
83,Drought,1913,0
84,Drought,1914,0
85,Drought,1915,0
86,Drought,1916,0
87,Drought,1917,0
88,Drought,1918,0
4,Drought,1919,1
5,Drought,1920,2
6,Drought,1921,1
89,Drought,1922,0
90,Drought,1923,0
91,Drought,1924,0
92,Drought,1925,0
93,Drought,1926,0
94,Drought,1927,0
7,Drought,1928,1
95,Drought,1929,0
96,Drought,1930,0
8,Drought,1931,1
97,Drought,1932,0
9,Drought,1933,1
98,Drought,1934,0
99,Drought,1935,0
100,Drought,1936,0
101,Drought,1937,0
102,Drought,1938,0
103,Drought,1939,0
10,Drought,1940,9
104,Drought,1941,0
11,Drought,1942,1
12,Drought,1943,1
105,Drought,1944,0
106,Drought,1945,0
13,Drought,1946,1
14,Drought,1947,1
107,Drought,1948,0
108,Drought,1949,0
109,Drought,1950,0
110,Drought,1951,0
111,Drought,1952,0
112,Drought,1953,0
113,Drought,1954,0
114,Drought,1955,0
115,Drought,1956,0
116,Drought,1957,0
117,Drought,1958,0
118,Drought,1959,0
15,Drought,1960,1
16,Drought,1961,1
119,Drought,1962,0
17,Drought,1963,1
18,Drought,1964,7
19,Drought,1965,7
20,Drought,1966,9
21,Drought,1967,5
22,Drought,1968,7
23,Drought,1969,10
24,Drought,1970,2
25,Drought,1971,7
26,Drought,1972,7
27,Drought,1973,2
28,Drought,1974,4
29,Drought,1975,1
30,Drought,1976,6
31,Drought,1977,16
32,Drought,1978,9
33,Drought,1979,11
34,Drought,1980,14
35,Drought,1981,13
36,Drought,1982,13
37,Drought,1983,32
38,Drought,1984,8
39,Drought,1985,3
40,Drought,1986,4
41,Drought,1987,15
42,Drought,1988,17
43,Drought,1989,7
44,Drought,1990,12
45,Drought,1991,18
46,Drought,1992,12
47,Drought,1993,9
48,Drought,1994,13
49,Drought,1995,6
50,Drought,1996,6
51,Drought,1997,18
52,Drought,1998,20
53,Drought,1999,23
54,Drought,2000,27
55,Drought,2001,22
56,Drought,2002,25
57,Drought,2003,14
58,Drought,2004,11
59,Drought,2005,20
60,Drought,2006,9
61,Drought,2007,11
62,Drought,2008,16
63,Drought,2009,18
64,Drought,2010,17
65,Drought,2011,17
66,Drought,2012,21
67,Drought,2013,9
68,Drought,2014,18
69,Drought,2015,28
70,Drought,2016,15
71,Drought,2017,7
72,Drought,2018,13
73,Drought,2019,15
