,Entity,Year,tonnes
16,Germany,430417,90565630028.29996
43,United Kingdom,503028,77071055648.40001
14,France,401614,37768075471.599976
32,Poland,416053,26848816401.5
42,Ukraine,117292,25796386297.100002
21,Italy,306283,23645999964.04001
38,Spain,361618,14136085451.680002
22,Kazakhstan,117292,12300616895.0
6,Belgium,363420,12257548524.289999
30,Netherlands,332218,11308449554.73
41,Turkey,296973,9602486274.139997
34,Romania,310000,8323783409.420002
3,Austria,383489,5303713347.160002
18,Hungary,361618,4870991389.839999
39,Sweden,346946,4858725461.040001
5,Belarus,117292,4058119852.0999994
11,Denmark,337750,3991753370.449999
17,Greece,266844,3884493460.24
8,Bulgaria,270772,3703285888.569999
13,Finland,306283,3065528408.3199997
40,Switzerland,310000,2918791195.06
36,Slovakia,117292,2730069465.6999993
31,Norway,357948,2585216440.639999
33,Portugal,287638,2476694775.57
4,Azerbaijan,117292,2471780321.5200005
35,Serbia,117292,2381789223.7399993
20,Ireland,210001,2112667063.7400002
12,Estonia,140494,1147762305.9900005
25,Lithuania,117292,1015509983.3100003
9,Croatia,117292,981746998.4399999
7,Bosnia and Herzegovina,117292,839470358.0700003
37,Slovenia,117292,756184328.39
26,Luxembourg,144613,725159606.54
23,Latvia,140494,618492627.4799998
15,Georgia,117292,593121175.8499998
0,Albania,167875,277278189.22
2,Armenia,117292,273731871.65
10,Cyprus,134878,270926136.56999993
28,Moldova,117292,175514617.05000004
19,Iceland,156254,141492955.55999997
29,Montenegro,117292,109622459.23
27,Malta,134878,97461274.55999997
1,Andorra,56098,13717377.28
24,Liechtenstein,22132,2000665.44
