,Year,tonnes
0,1751,9350528.0
1,1752,9354192.0
2,1753,9354192.0
3,1754,9357856.0
4,1755,9361520.0
5,1756,10006384.0
6,1757,10010048.0
7,1758,10013712.0
8,1759,10017376.0
9,1760,10017376.0
10,1761,10973680.0
11,1762,10977344.0
12,1763,10981008.0
13,1764,10984672.0
14,1765,10988336.0
15,1766,12259744.0
16,1767,12263408.0
17,1768,12267072.0
18,1769,12270736.0
19,1770,12274400.0
20,1771,13611760.0
21,1772,13615424.0
22,1773,13619088.0
23,1774,13622752.0
24,1775,13626416.0
25,1776,15037056.0
26,1777,15040720.0
27,1778,15044384.0
28,1779,15048048.0
29,1780,15055376.0
30,1781,16843408.0
31,1782,16847072.0
32,1783,16854400.0
33,1784,16858064.0
34,1785,16865392.0
35,1786,19148064.0
36,1787,19155392.0
37,1788,19159056.0
38,1789,19166384.0
39,1790,19173712.0
40,1791,21416080.0
41,1792,21892400.0
42,1793,21910720.0
43,1794,21877744.0
44,1795,21888736.0
45,1796,22947632.0
46,1797,24090800.0
47,1798,25091072.0
48,1799,26424768.0
49,1800,27835408.0
50,1801,27688848.0
51,1802,36489776.0
52,1803,31187968.0
53,1804,33972608.0
54,1805,33074928.0
55,1806,34709072.0
56,1807,36493440.0
57,1808,34668768.0
58,1809,34683424.0
59,1810,36958768.0
60,1811,39131520.0
61,1812,40520176.0
62,1813,40696048.0
63,1814,41564416.0
64,1815,42883456.0
65,1816,46998128.0
66,1817,48709216.0
67,1818,48859440.0
68,1819,49181872.0
69,1820,49892688.0
70,1821,50603504.0
71,1822,52596720.0
72,1823,55645168.0
73,1824,57506480.0
74,1825,59616944.0
75,1826,60100592.0
76,1827,64464416.0
77,1828,65039664.0
78,1829,64596320.0
79,1830,87012672.0
80,1831,82238480.0
81,1832,82069936.0
82,1833,83257072.0
83,1834,85100064.0
84,1835,86125984.0
85,1836,100041856.0
86,1837,99382336.0
87,1838,103009696.0
88,1839,106091120.0
89,1840,113052720.0
90,1841,116401616.0
91,1842,122582784.0
92,1843,125085296.0
93,1844,132112848.0
94,1845,144002528.0
95,1846,145057760.0
96,1847,157299184.0
97,1848,156991408.0
98,1849,165242736.0
99,1850,176930896.0
100,1851,174102288.0
101,1852,180675504.0
102,1853,186944608.0
103,1854,221855200.0
104,1855,221510784.0
105,1856,237075456.0
106,1857,238618000.0
107,1858,241380656.0
108,1859,254527088.0
109,1860,280955520.0
110,1861,298850496.0
111,1862,302869904.0
112,1863,318412592.0
113,1864,343107952.0
114,1865,367264704.0
115,1866,377446960.0
116,1867,394730048.0
117,1868,398896016.0
118,1869,416721376.0
119,1870,421785024.0
120,1871,448363680.0
121,1872,484468736.0
122,1873,510098416.0
