,Entity,Year,count_of_disasters
58,Extreme temperature,1900,0
59,Extreme temperature,1901,0
60,Extreme temperature,1902,0
61,Extreme temperature,1903,0
62,Extreme temperature,1904,0
63,Extreme temperature,1905,0
64,Extreme temperature,1906,0
65,Extreme temperature,1907,0
66,Extreme temperature,1908,0
67,Extreme temperature,1909,0
68,Extreme temperature,1910,0
69,Extreme temperature,1911,0
70,Extreme temperature,1912,0
71,Extreme temperature,1913,0
72,Extreme temperature,1914,0
73,Extreme temperature,1915,0
74,Extreme temperature,1916,0
75,Extreme temperature,1917,0
76,Extreme temperature,1918,0
77,Extreme temperature,1919,0
78,Extreme temperature,1920,0
79,Extreme temperature,1921,0
80,Extreme temperature,1922,0
81,Extreme temperature,1923,0
82,Extreme temperature,1924,0
83,Extreme temperature,1925,0
84,Extreme temperature,1926,0
85,Extreme temperature,1927,0
86,Extreme temperature,1928,0
87,Extreme temperature,1929,0
88,Extreme temperature,1930,0
89,Extreme temperature,1931,0
90,Extreme temperature,1932,0
91,Extreme temperature,1933,0
92,Extreme temperature,1934,0
93,Extreme temperature,1935,0
0,Extreme temperature,1936,2
94,Extreme temperature,1937,0
95,Extreme temperature,1938,0
96,Extreme temperature,1939,0
97,Extreme temperature,1940,0
98,Extreme temperature,1941,0
99,Extreme temperature,1942,0
100,Extreme temperature,1943,0
101,Extreme temperature,1944,0
102,Extreme temperature,1945,0
103,Extreme temperature,1946,0
104,Extreme temperature,1947,0
105,Extreme temperature,1948,0
106,Extreme temperature,1949,0
107,Extreme temperature,1950,0
1,Extreme temperature,1951,2
108,Extreme temperature,1952,0
2,Extreme temperature,1953,3
109,Extreme temperature,1954,0
3,Extreme temperature,1955,1
110,Extreme temperature,1956,0
111,Extreme temperature,1957,0
4,Extreme temperature,1958,2
112,Extreme temperature,1959,0
119,Extreme temperature,1960,0
5,Extreme temperature,1961,1
6,Extreme temperature,1962,1
7,Extreme temperature,1963,2
113,Extreme temperature,1964,0
8,Extreme temperature,1965,1
9,Extreme temperature,1966,2
114,Extreme temperature,1967,0
10,Extreme temperature,1968,2
115,Extreme temperature,1969,0
116,Extreme temperature,1970,0
11,Extreme temperature,1971,1
12,Extreme temperature,1972,2
13,Extreme temperature,1973,3
117,Extreme temperature,1974,0
14,Extreme temperature,1975,3
118,Extreme temperature,1976,0
15,Extreme temperature,1977,1
16,Extreme temperature,1978,1
17,Extreme temperature,1979,4
18,Extreme temperature,1980,3
19,Extreme temperature,1981,2
20,Extreme temperature,1982,3
21,Extreme temperature,1983,2
22,Extreme temperature,1984,1
23,Extreme temperature,1985,8
24,Extreme temperature,1986,2
25,Extreme temperature,1987,6
26,Extreme temperature,1988,6
27,Extreme temperature,1989,5
28,Extreme temperature,1990,13
29,Extreme temperature,1991,8
30,Extreme temperature,1992,7
31,Extreme temperature,1993,4
32,Extreme temperature,1994,9
33,Extreme temperature,1995,13
34,Extreme temperature,1996,5
35,Extreme temperature,1997,13
36,Extreme temperature,1998,12
37,Extreme temperature,1999,8
38,Extreme temperature,2000,31
39,Extreme temperature,2001,23
40,Extreme temperature,2002,15
41,Extreme temperature,2003,25
42,Extreme temperature,2004,16
43,Extreme temperature,2005,30
44,Extreme temperature,2006,24
45,Extreme temperature,2007,25
46,Extreme temperature,2008,10
47,Extreme temperature,2009,25
48,Extreme temperature,2010,29
49,Extreme temperature,2011,16
50,Extreme temperature,2012,51
51,Extreme temperature,2013,14
52,Extreme temperature,2014,17
53,Extreme temperature,2015,12
54,Extreme temperature,2016,12
55,Extreme temperature,2017,11
56,Extreme temperature,2018,25
57,Extreme temperature,2019,20
