,Entity,Year,count_of_disasters
0,Extreme weather,1900,1
116,Extreme weather,1901,0
1,Extreme weather,1902,1
2,Extreme weather,1903,2
3,Extreme weather,1904,1
4,Extreme weather,1905,1
5,Extreme weather,1906,3
117,Extreme weather,1907,0
118,Extreme weather,1908,0
6,Extreme weather,1909,5
7,Extreme weather,1910,1
8,Extreme weather,1911,2
9,Extreme weather,1912,5
10,Extreme weather,1913,1
11,Extreme weather,1914,1
12,Extreme weather,1915,2
13,Extreme weather,1916,1
14,Extreme weather,1917,2
15,Extreme weather,1918,1
16,Extreme weather,1919,2
17,Extreme weather,1920,1
119,Extreme weather,1921,0
18,Extreme weather,1922,2
19,Extreme weather,1923,6
20,Extreme weather,1924,2
21,Extreme weather,1925,3
22,Extreme weather,1926,7
23,Extreme weather,1927,4
24,Extreme weather,1928,7
25,Extreme weather,1929,2
26,Extreme weather,1930,4
27,Extreme weather,1931,4
28,Extreme weather,1932,5
29,Extreme weather,1933,3
30,Extreme weather,1934,4
31,Extreme weather,1935,7
32,Extreme weather,1936,5
33,Extreme weather,1937,3
34,Extreme weather,1938,2
35,Extreme weather,1939,2
36,Extreme weather,1940,3
37,Extreme weather,1941,2
38,Extreme weather,1942,3
39,Extreme weather,1943,3
40,Extreme weather,1944,5
41,Extreme weather,1945,7
42,Extreme weather,1946,5
43,Extreme weather,1947,7
44,Extreme weather,1948,10
45,Extreme weather,1949,8
46,Extreme weather,1950,7
47,Extreme weather,1951,11
48,Extreme weather,1952,10
49,Extreme weather,1953,11
50,Extreme weather,1954,10
51,Extreme weather,1955,19
52,Extreme weather,1956,14
53,Extreme weather,1957,9
54,Extreme weather,1958,13
55,Extreme weather,1959,16
56,Extreme weather,1960,20
57,Extreme weather,1961,14
58,Extreme weather,1962,13
59,Extreme weather,1963,21
60,Extreme weather,1964,22
61,Extreme weather,1965,19
62,Extreme weather,1966,28
63,Extreme weather,1967,25
64,Extreme weather,1968,25
65,Extreme weather,1969,25
66,Extreme weather,1970,24
67,Extreme weather,1971,22
68,Extreme weather,1972,26
69,Extreme weather,1973,22
70,Extreme weather,1974,28
71,Extreme weather,1975,28
72,Extreme weather,1976,36
73,Extreme weather,1977,32
74,Extreme weather,1978,42
75,Extreme weather,1979,31
76,Extreme weather,1980,42
77,Extreme weather,1981,50
78,Extreme weather,1982,52
79,Extreme weather,1983,59
80,Extreme weather,1984,57
81,Extreme weather,1985,51
82,Extreme weather,1986,56
83,Extreme weather,1987,58
84,Extreme weather,1988,60
85,Extreme weather,1989,73
86,Extreme weather,1990,137
87,Extreme weather,1991,66
88,Extreme weather,1992,76
89,Extreme weather,1993,108
90,Extreme weather,1994,81
91,Extreme weather,1995,81
92,Extreme weather,1996,77
93,Extreme weather,1997,79
94,Extreme weather,1998,88
95,Extreme weather,1999,106
96,Extreme weather,2000,102
97,Extreme weather,2001,105
98,Extreme weather,2002,122
99,Extreme weather,2003,86
100,Extreme weather,2004,124
101,Extreme weather,2005,130
102,Extreme weather,2006,76
103,Extreme weather,2007,105
104,Extreme weather,2008,111
105,Extreme weather,2009,87
106,Extreme weather,2010,94
107,Extreme weather,2011,84
108,Extreme weather,2012,90
109,Extreme weather,2013,105
110,Extreme weather,2014,99
111,Extreme weather,2015,118
112,Extreme weather,2016,84
113,Extreme weather,2017,85
114,Extreme weather,2018,84
115,Extreme weather,2019,85
