,Entity,Year,count_of_disasters
0,Flood,1900,1
96,Flood,1901,0
97,Flood,1902,0
1,Flood,1903,2
98,Flood,1904,0
99,Flood,1905,0
2,Flood,1906,2
100,Flood,1907,0
101,Flood,1908,0
3,Flood,1909,1
4,Flood,1910,1
5,Flood,1911,1
102,Flood,1912,0
103,Flood,1913,0
104,Flood,1914,0
6,Flood,1915,1
105,Flood,1916,0
7,Flood,1917,1
106,Flood,1918,0
107,Flood,1919,0
8,Flood,1920,1
108,Flood,1921,0
109,Flood,1922,0
110,Flood,1923,0
111,Flood,1924,0
9,Flood,1925,1
10,Flood,1926,4
11,Flood,1927,2
12,Flood,1928,2
13,Flood,1930,1
14,Flood,1931,1
112,Flood,1932,0
15,Flood,1933,2
113,Flood,1934,0
16,Flood,1935,1
17,Flood,1936,1
18,Flood,1937,2
19,Flood,1938,2
20,Flood,1939,2
21,Flood,1940,1
114,Flood,1941,0
115,Flood,1942,0
22,Flood,1943,2
116,Flood,1944,0
117,Flood,1945,0
118,Flood,1946,0
23,Flood,1947,1
24,Flood,1948,5
25,Flood,1949,2
26,Flood,1950,10
27,Flood,1951,7
28,Flood,1952,4
29,Flood,1953,12
30,Flood,1954,9
31,Flood,1955,3
32,Flood,1956,9
33,Flood,1957,11
34,Flood,1958,3
35,Flood,1959,13
36,Flood,1960,7
37,Flood,1961,8
38,Flood,1962,8
39,Flood,1963,8
40,Flood,1964,22
41,Flood,1965,19
42,Flood,1966,23
43,Flood,1967,26
44,Flood,1968,20
45,Flood,1969,14
46,Flood,1970,31
47,Flood,1971,15
48,Flood,1972,15
49,Flood,1973,20
50,Flood,1974,19
51,Flood,1975,17
52,Flood,1976,17
53,Flood,1977,48
54,Flood,1978,47
55,Flood,1979,34
56,Flood,1980,39
57,Flood,1981,43
58,Flood,1982,48
59,Flood,1983,49
60,Flood,1984,47
61,Flood,1985,58
62,Flood,1986,50
63,Flood,1987,68
64,Flood,1988,76
65,Flood,1989,46
66,Flood,1990,60
67,Flood,1991,77
68,Flood,1992,59
69,Flood,1993,84
70,Flood,1994,88
71,Flood,1995,94
72,Flood,1996,92
73,Flood,1997,95
74,Flood,1998,94
75,Flood,1999,122
76,Flood,2000,157
77,Flood,2001,157
78,Flood,2002,172
79,Flood,2003,158
80,Flood,2004,128
81,Flood,2005,193
82,Flood,2006,226
83,Flood,2007,218
84,Flood,2008,165
85,Flood,2009,151
86,Flood,2010,184
87,Flood,2011,156
88,Flood,2012,136
89,Flood,2013,149
90,Flood,2014,135
91,Flood,2015,160
92,Flood,2016,161
93,Flood,2017,114
94,Flood,2018,109
95,Flood,2019,170
