,Entity,Year,tonnes
22,United States,503028,399378341401.0
4,Canada,442933,31913521876.399998
15,Mexico,248158,18971469004.739994
6,Cuba,152383,1656996984.2900002
21,Trinidad and Tobago,215875,1455796377.57
8,Dominican Republic,140722,666238637.93
14,Jamaica,134878,424398054.1600001
11,Guatemala,152383,404420204.69000006
17,Panama,138775,270033081.50999993
5,Costa Rica,134878,231692588.72
13,Honduras,134878,229623078.07999998
9,El Salvador,134878,213279980.31999996
16,Nicaragua,150442,160721076.63000005
1,Bahamas,134878,157456745.29999998
12,Haiti,134878,69042835.50999999
2,Barbados,177525,51506565.02000001
0,Antigua and Barbuda,121207,21756717.08
3,Belize,134878,17162217.12
19,Saint Lucia,134878,12036657.41
10,Grenada,134878,7332340.49
20,Saint Vincent and the Grenadines,134878,6228123.09
18,Saint Kitts and Nevis,73963,5660324.69
7,Dominica,132928,3921840.4799999995
