,Year,tonnes per region
0,1800,0.005675991
1,1801,0.005609875
2,1802,0.005544526
3,1803,0.0054799359999999995
4,1804,0.005416096
5,1805,0.005353008
6,1806,0.0052906459999999995
7,1807,0.0052290190000000005
8,1808,0.005168104000000001
9,1809,0.005107902
10,1810,0.005035713
11,1811,0.0049705420000000005
12,1812,0.004899739
13,1813,0.004823534
14,1814,0.004742207
15,1815,0.004656063
16,1816,0.004565459
17,1817,0.004470773
18,1818,0.004372404
19,1819,0.004270775
20,1820,0.004166326
21,1821,0.00405915
22,1822,0.003949727
23,1823,0.003838534
24,1824,0.0037260390000000004
25,1825,0.003612696
26,1826,0.003498948
27,1827,0.003385211
28,1828,0.003271881
29,1829,0.0031593259999999996
30,1830,0.003047883
31,1831,0.0029376859999999997
32,1832,0.002831147
33,1833,0.0027281659999999998
34,1834,0.002628645
35,1835,0.002532494
36,1836,0.002439616
37,1837,0.002349917
38,1838,0.002263306
39,1839,0.002179693
40,1840,0.002098987
41,1841,0.002022157
42,1842,0.0019490339999999999
43,1843,0.001879381
44,1844,0.001812984
45,1845,0.0017496410000000001
46,1846,0.011824183
47,1847,0.014682579
48,1848,0.01733788
49,1849,0.019803462
50,1850,0.023564491
51,1851,0.027096763
52,1852,0.031809781
53,1853,0.037607493
54,1854,0.044408733
55,1855,0.05214516
56,1856,0.06075968599999999
57,1857,0.071415617
58,1858,0.08517535300000001
59,1859,0.09954672199999999
60,1860,0.11792514400000001
61,1861,0.139048785
62,1862,0.167046694
63,1863,0.205837095
64,1864,0.24223888100000002
65,1865,0.287830138
66,1866,0.345273249
67,1867,0.43614309
68,1868,0.254812892
69,1869,0.18203338
70,1870,0.320623087
71,1871,0.460350773
72,1872,0.471081869
73,1873,0.405381647
74,1874,0.403578308
75,1875,0.46015879200000004
76,1876,0.449569464
77,1877,0.483123863
78,1878,0.45591460100000003
79,1879,0.507775172
80,1880,1.200089178
81,1881,1.2647506370000001
82,1882,1.477909035
83,1883,1.63902501
84,1884,1.872507434
85,1885,1.773618013
86,1886,1.8707994140000002
87,1887,2.134253882
88,1888,2.769259382
89,1889,2.324758707
90,1890,2.529621536
91,1891,2.855648437
92,1892,2.821315193
93,1893,2.979325028
94,1894,2.817789925
95,1895,2.659391648
96,1896,2.85144692
97,1897,2.8550958730000002
98,1898,2.990312912
99,1899,3.582969435
100,1900,3.803656515
101,1901,4.329936332
102,1902,4.586364355
103,1903,4.881455123
104,1904,5.619662763
105,1905,5.836681201
106,1906,6.000044128000001
107,1907,7.325620556999999
108,1908,7.270752107
109,1909,6.826163572
110,1910,7.660879079
111,1911,9.086214715999999
112,1912,9.987626378999998
113,1913,11.533508799
114,1914,9.993245248
115,1915,9.359360881
116,1916,11.566840994
117,1917,13.438126081
118,1918,14.720048472000002
119,1919,13.288507673000002
120,1920,16.931223158
121,1921,17.550007620000002
122,1922,15.774782309999999
123,1923,17.858081276
124,1924,16.844525611
125,1925,16.458794326
126,1926,16.483760022
127,1927,16.540354304999997
128,1928,18.838211506
129,1929,19.816030577
130,1930,19.075469079
131,1931,15.447509656
132,1932,15.102129161
133,1933,16.766991193
134,1934,19.243998863999998
135,1935,19.703422744
136,1936,21.561002418
137,1937,25.33424558
138,1938,26.568658092
139,1939,29.243798771
140,1940,32.470295633
141,1941,30.988104138
142,1942,32.434847942
143,1943,31.554115042
144,1944,32.095523420999996
145,1945,31.237130645999997
146,1946,31.091896379
147,1947,32.636729304
148,1948,34.005779953
149,1949,33.829703936
150,1950,20.342553855
151,1951,21.933437344999998
152,1952,22.263270912000003
153,1953,22.140780547
154,1954,21.635964033
155,1955,22.538861301000004
156,1956,23.725588268
157,1957,24.936941823999998
158,1958,26.787826665
159,1959,26.684085636000006
160,1960,27.40557426
161,1961,30.922366041999997
162,1962,37.449061583
163,1963,29.709582724999997
164,1964,38.018159815
165,1965,41.71224562600001
166,1966,42.74897150599999
167,1967,52.29787644600002
168,1968,58.948389161
169,1969,64.027626517
170,1970,63.803556521999994
171,1971,87.328237731
172,1972,86.52868533799997
173,1973,95.39998112299999
174,1974,93.21177829799997
175,1975,102.02847841500001
176,1976,93.01389762900001
177,1977,110.48699601499999
178,1978,94.83135439400002
179,1979,96.578422401
180,1980,96.814584768
181,1981,71.36026386399999
182,1982,70.955099562
183,1983,63.42186330900002
184,1984,64.10509377199999
185,1985,66.71612080300001
186,1986,62.98004667399999
187,1987,65.50677929400001
188,1988,65.57667702700002
189,1989,69.03711846099999
190,1990,70.10713316500001
191,1991,69.36862162
192,1992,71.442332435
193,1993,70.516050164
194,1994,70.603722484
195,1995,70.89656716599998
196,1996,74.669132294
197,1997,73.75620114600001
198,1998,76.91761004500002
199,1999,80.496595631
200,2000,82.747175831
201,2001,85.36113586900001
202,2002,87.09150512400001
203,2003,91.12274615000001
204,2004,92.135495108
205,2005,95.665896123
206,2006,99.26653930900001
207,2007,102.70733546900001
208,2008,101.02972627200002
209,2009,100.71604206999999
210,2010,102.138618287
211,2011,102.013351406
212,2012,100.571230901
213,2013,103.053671997
214,2014,99.71621069099999
215,2015,100.834646828
216,2016,97.98728106499999
217,2017,97.40400938000002
