,Year,tonnes per region
0,1800,0.042844680999999996
1,1801,0.044186545
2,1802,0.04649913
3,1803,0.046673972
4,1804,0.050816998
5,1805,0.050870652
6,1806,0.048983653
7,1807,0.053744626999999996
8,1808,0.054610756999999996
9,1809,0.054971587999999995
10,1810,0.055391303999999995
11,1811,0.057799263
12,1812,0.060895236000000005
13,1813,0.06379847300000001
14,1814,0.06691898
15,1815,0.06983709
16,1816,0.074889532
17,1817,0.078886825
18,1818,0.083371101
19,1819,0.079607675
20,1820,0.080546469
21,1821,0.082033429
22,1822,0.083352188
23,1823,0.084511929
24,1824,0.092231549
25,1825,0.100083114
26,1826,0.112277183
27,1827,0.119893298
28,1828,0.128147032
29,1829,0.140042084
30,1830,0.15797434700000001
31,1831,0.166251789
32,1832,0.21475652800000003
33,1833,0.243157025
34,1834,0.22657508
35,1835,0.280269164
36,1836,0.29819802799999995
37,1837,0.32467311099999996
38,1838,0.299226148
39,1839,0.318683281
40,1840,0.329445269
41,1841,0.33839258800000005
42,1842,0.36555319199999997
43,1843,0.397995229
44,1844,0.46275795100000006
45,1845,0.540444108
46,1846,0.6049931900000001
47,1847,0.697326399
48,1848,0.755345563
49,1849,0.797481008
50,1850,0.843612872
51,1851,1.017620168
52,1852,1.077835237
53,1853,1.181529942
54,1854,1.266493772
55,1855,1.419384578
56,1856,1.455798624
57,1857,1.463158523
58,1858,1.459258083
59,1859,1.5552563229999998
60,1860,1.6018844730000001
61,1861,1.5311583530000001
62,1862,1.5763078499999998
63,1863,1.792855423
64,1864,1.8987848550000002
65,1865,1.908387926
66,1866,1.9376994029999999
67,1867,2.348347252
68,1868,2.365003164
69,1869,2.526966149
70,1870,2.731924559
71,1871,2.92118733
72,1872,3.4186387229999995
73,1873,3.591961514
74,1874,3.4009472740000004
75,1875,3.420567024
76,1876,3.279858819
77,1877,3.5528667840000003
78,1878,3.388489742
79,1879,4.001531621
80,1880,5.065358918
81,1881,5.265737250999999
82,1882,5.857523033
83,1883,6.256941832
84,1884,6.635286465
85,1885,6.510039892
86,1886,6.762831960000001
87,1887,7.250723755999999
88,1888,8.858564408
89,1889,7.674288473
90,1890,8.801838455
91,1891,9.392875564
92,1892,9.572906292999999
93,1893,9.651800089
94,1894,8.942829546
95,1895,9.444231426
96,1896,9.520988436
97,1897,9.662653017
98,1898,10.271479637
99,1899,11.778998010999999
100,1900,12.324156108
101,1901,13.431933017999999
102,1902,14.057244227999998
103,1903,15.752777023
104,1904,16.114724023
105,1905,17.348010721
106,1906,17.846537528
107,1907,20.853520187
108,1908,18.868890687
109,1909,19.421746742
110,1910,21.150561889
111,1911,22.192908285999998
112,1912,23.739942148999997
113,1913,26.030097959
114,1914,23.001074898
115,1915,22.641498181000003
116,1916,26.106757774000002
117,1917,29.226693311
118,1918,31.076447672
119,1919,26.994135863000004
120,1920,32.838886128
121,1921,30.380843130000002
122,1922,28.49347781
123,1923,34.386035006
124,1924,31.390973561000003
125,1925,31.159630366000002
126,1926,32.208353392
127,1927,31.700192004999995
128,1928,33.676221736
129,1929,35.549399417000004
130,1930,32.919982939
131,1931,27.132223826
132,1932,24.934811178
133,1933,27.244843163
134,1934,30.329165953999997
135,1935,31.145274614
136,1936,34.610697238
137,1937,38.89363686
138,1938,37.952005862
139,1939,41.687959281000005
140,1940,46.312873843
141,1941,45.926895918
142,1942,48.323591042
143,1943,47.773562712
144,1944,49.340818571
145,1945,47.697096595999994
146,1946,46.624900419
147,1947,49.474474693999994
148,1948,51.186981463
149,1949,47.814753396
150,1950,36.311522065
151,1951,38.168912585
152,1952,37.846204782
153,1953,37.839157647
154,1954,36.343584733
155,1955,38.382736721
156,1956,40.045994588
157,1957,40.841317864
158,1958,41.940730605
159,1959,42.036692536000004
160,1960,42.8643175
161,1961,46.093973901999995
162,1962,52.958608263
163,1963,45.687856305
164,1964,54.488486554999994
165,1965,58.66884808600001
166,1966,60.37083187599999
167,1967,70.40388322600002
168,1968,77.543193321
169,1969,83.386623587
170,1970,84.441654742
171,1971,107.905537341
172,1972,107.89458531799997
173,1973,117.52327401299999
174,1974,114.35620440799997
175,1975,122.10461292500001
176,1976,113.83827176900002
177,1977,131.69101093499998
178,1978,116.49013227400002
179,1979,118.081258511
180,1980,117.34319593800001
181,1981,90.892858924
182,1982,89.329175202
183,1983,81.76764948900002
184,1984,82.83414483199999
185,1985,85.33692237300001
186,1986,81.44107300399999
187,1987,84.58086007400001
188,1988,85.29734686700002
189,1989,88.82024634099999
190,1990,90.38696318500001
191,1991,89.25623021
192,1992,91.539334575
193,1993,90.840194854
194,1994,91.07245615400001
195,1995,91.37099643599998
196,1996,95.599619834
197,1997,94.71586527600002
198,1998,97.79396138500002
199,1999,101.411042151
200,2000,104.027220341
201,2001,106.082236269
202,2002,107.76458244400001
203,2003,111.78050104000002
204,2004,113.010024558
205,2005,116.443235163
206,2006,119.587830029
207,2007,123.10348308900001
208,2008,120.58569999200002
209,2009,118.67036863999999
210,2010,120.610138877
211,2011,119.922632776
212,2012,117.69897927100001
213,2013,120.54644851699999
214,2014,117.24353242099998
215,2015,117.77841054800001
216,2016,114.47144494499999
217,2017,113.64495814000001
