,Year,tonnes
0,1751,0.0
1,1752,0.0
2,1753,0.0
3,1754,0.0
4,1755,0.0
5,1756,0.0
6,1757,0.0
7,1758,0.0
8,1759,0.0
9,1760,0.0
10,1761,0.0
11,1762,0.0
12,1763,0.0
13,1764,0.0
14,1765,0.0
15,1766,0.0
16,1767,0.0
17,1768,0.0
18,1769,0.0
19,1770,0.0
20,1771,0.0
21,1772,0.0
22,1773,0.0
23,1774,0.0
24,1775,0.0
25,1776,0.0
26,1777,0.0
27,1778,0.0
28,1779,0.0
29,1780,0.0
30,1781,0.0
31,1782,0.0
32,1783,0.0
33,1784,0.0
34,1785,3664.0
35,1786,3664.0
36,1787,3664.0
37,1788,3664.0
38,1789,3664.0
39,1790,3664.0
40,1791,3664.0
41,1792,3664.0
42,1793,3664.0
43,1794,3664.0
44,1795,3664.0
45,1796,3664.0
46,1797,3664.0
47,1798,3664.0
48,1799,3664.0
49,1800,256480.0
50,1801,271136.0
51,1802,293120.0
52,1803,300448.0
53,1804,337088.0
54,1805,344416.0
55,1806,337088.0
56,1807,381056.0
57,1808,395712.0
58,1809,406704.0
59,1810,421360.0
60,1811,450672.0
61,1812,487312.0
62,1813,523952.0
63,1814,564256.0
64,1815,604560.0
65,1816,666848.0
66,1817,721808.0
67,1818,784096.0
68,1819,765776.0
69,1820,795088.0
70,1821,831728.0
71,1822,868368.0
72,1823,905008.0
73,1824,1018592.0
74,1825,1139504.0
75,1826,1319040.0
76,1827,1450944.0
77,1828,1597504.0
78,1829,1799024.0
79,1830,2092144.0
80,1831,2268016.0
81,1832,3026464.0
82,1833,3532096.0
83,1834,3385536.0
84,1835,4319856.0
85,1836,4733888.0
86,1837,5309136.0
87,1838,5034336.0
88,1839,5521648.0
89,1840,5877056.0
90,1841,6217808.0
91,1842,6921296.0
92,1843,7767680.0
93,1844,9310224.0
94,1845,11208176.0
95,1846,12736064.0
96,1847,15103008.0
97,1848,16825088.0
98,1849,18268704.0
99,1850,19851552.0
100,1851,24702688.0
101,1852,26875440.0
102,1853,30264640.0
103,1854,33283776.0
104,1855,38310784.0
105,1856,40216064.0
106,1857,41271296.0
107,1858,41912496.0
108,1859,45635120.0
109,1860,47818864.0
110,1861,46137088.0
111,1862,48009392.0
112,1863,55513264.0
113,1864,59499696.0
114,1865,59840448.0
115,1866,60474320.0
116,1867,74459808.0
117,1868,83297376.0
118,1869,94380976.0
119,1870,99844000.0
120,1871,104801392.0
121,1872,128152064.0
122,1873,141115296.0
123,1874,135919744.0
124,1875,137623504.0
125,1876,134677648.0
126,1877,149198080.0
127,1878,145838192.0
128,1879,177652704.0
129,1880,203916256.0
130,1881,215783952.0
131,1882,242010864.0
132,1883,261312816.0
133,1884,276188656.0
134,1885,280405920.0
135,1886,296260048.0
136,1887,317529568.0
137,1888,387185872.0
138,1889,346834240.0
139,1890,414160240.0
140,1891,441885728.0
141,1892,464917632.0
142,1893,469479312.0
143,1894,439767936.0
144,1895,493973152.0
145,1896,496109264.0
146,1897,515773952.0
147,1898,561764480.0
148,1899,645457568.0
149,1900,684365584.0
150,1901,746682896.0
151,1902,791566896.0
152,1903,923921568.0
153,1904,915036368.0
154,1905,1021592816.0
155,1906,1072646992.0
156,1907,1251058144.0
157,1908,1102153184.0
158,1909,1212457904.0
159,1910,1325070944.0
160,1911,1325180864.0
161,1912,1417312144.0
162,1913,1531361472.0
163,1914,1394511072.0
164,1915,1441032880.0
165,1916,1610313344.0
166,1917,1780370576.0
167,1918,1866514880.0
168,1919,1594774320.0
169,1920,1897373088.0
170,1921,1593744736.0
171,1922,1589069472.0
172,1923,2060237888.0
173,1924,1842504688.0
174,1925,1875176576.0
175,1926,2019937552.0
176,1927,1970733696.0
177,1928,1948888928.0
178,1929,2085123776.0
179,1930,1860597520.0
180,1931,1578766304.0
181,1932,1346062000.0
182,1933,1437478800.0
183,1934,1537978656.0
184,1935,1595576736.0
185,1936,1824565744.0
186,1937,1915202112.0
187,1938,1631571872.0
188,1939,1794993600.0
189,1940,2014064160.0
190,1941,2191907392.0
191,1942,2354720896.0
192,1943,2434687696.0
193,1944,2611790800.0
194,1945,2519637536.0
195,1946,2428213408.0
196,1947,2665900752.0
197,1948,2778975456.0
198,1949,2348001120.0
199,1950,2731632912.0
200,1951,2822555072.0
201,1952,2755104496.0
202,1953,2816718320.0
203,1954,2695934560.0
204,1955,2946134464.0
205,1956,3099886896.0
206,1957,3084252608.0
207,1958,3006022544.0
208,1959,3092546871.27
209,1960,3167967227.5299997
210,1961,3162591738.2200003
211,1962,3286136548.34
212,1963,3418543093.89
213,1964,3596815063.42
214,1965,3748650882.88
215,1966,3933144996.62
216,1967,4101501344.76
217,1968,4264188022.87
218,1969,4472072946.74
219,1970,4830461570.7
220,1971,4886016355.43
221,1972,5131706182.73
222,1973,5356844638.0
223,1974,5206922977.62
224,1975,5038342298.97
225,1976,5270427053.32
226,1977,5423206558.49
227,1978,5607248017.809999
228,1979,5665852784.16
229,1980,5517109647.43
230,1981,5327837001.78
231,1982,5105498496.75
232,1983,5102554560.78
233,1984,5251245640.97
234,1985,5278093823.99
235,1986,5269381016.88
236,1987,5506302462.96
237,1988,5735215633.190001
238,1989,5862574497.809999
239,1990,5993119056.360001
240,1991,5945387134.91
241,1992,6073322614.61
242,1993,6185832810.82
243,1994,6315048919.72
244,1995,6366608778.55
245,1996,6590483339.23
246,1997,6706067994.79
247,1998,6787160189.059999
248,1999,6890155239.55
249,2000,7091731425.059999
250,2001,7006099216.360001
251,2002,7059569163.49
252,2003,7154965371.07
253,2004,7268781562.73
254,2005,7318260928.4800005
255,2006,7253899942.72
256,2007,7364667395.88
257,2008,7160900214.71
258,2009,6670429628.39
259,2010,6890323537.08
260,2011,6786107908.3
261,2012,6596300637.51
262,2013,6750594956.03
263,2014,6791511147.35
264,2015,6642874088.21
265,2016,6553039169.719999
266,2017,6510897665.23
