,Year,tonnes
0,1884,3664.0
1,1885,3664.0
2,1886,7328.0
3,1887,1091872.0
4,1888,897680.0
5,1889,1762384.0
6,1890,1381328.0
7,1891,985616.0
8,1892,1450944.0
9,1893,1601168.0
10,1894,2033520.0
11,1895,2828608.0
12,1896,2879904.0
13,1897,2758992.0
14,1898,3176688.0
15,1899,3715296.0
16,1900,3165696.0
17,1901,6401008.0
18,1902,7379296.0
19,1903,7676080.0
20,1904,8665360.0
21,1905,9211296.0
22,1906,12329360.0
23,1907,12684768.0
24,1908,14886832.0
25,1909,13406576.0
26,1910,17246448.0
27,1911,19162720.0
28,1912,19990784.0
29,1913,21122960.0
30,1914,17195152.0
31,1915,15088352.0
32,1916,13619088.0
33,1917,10867424.0
34,1918,10999328.0
35,1919,12900944.0
36,1920,14641344.0
37,1921,14428832.0
38,1922,17162176.0
39,1923,19759952.0
40,1924,24332624.0
41,1925,26384464.0
42,1926,27381072.0
43,1927,30081440.0
44,1928,31429792.0
45,1929,34426944.0
46,1930,29099488.0
47,1931,25545408.0
48,1932,28963920.0
49,1933,32902720.0
50,1934,37262880.0
51,1935,41088096.0
52,1936,39604176.0
53,1937,50171152.0
54,1938,46283648.0
55,1939,47071408.0
56,1940,50728080.0
57,1941,50764720.0
58,1942,48177936.0
59,1943,48580976.0
60,1944,53879120.0
61,1945,54150256.0
62,1946,118790544.0
63,1947,62123120.0
64,1948,69520736.0
65,1949,70843440.0
66,1950,112591056.0
67,1951,131299440.0
68,1952,141489024.0
69,1953,140660960.0
70,1954,151074048.0
71,1955,170101200.0
72,1956,184207600.0
73,1957,192946240.0
74,1958,178781216.0
75,1959,196974221.47999996
76,1960,199140545.89999998
77,1961,201768415.44000003
78,1962,215648161.58
79,1963,219407098.67999995
80,1964,230187941.78
81,1965,240143068.45999998
82,1966,252038602.03
83,1967,267374941.85999998
84,1968,287652209.29999995
85,1969,311279563.8
86,1970,337868438.7
87,1971,346560999.46000004
88,1972,362554806.87
89,1973,392633453.15
90,1974,416449443.96
91,1975,411852273.90999997
92,1976,419107346.4800001
93,1977,434488853.48
94,1978,460866036.92999995
95,1979,493619542.78999996
96,1980,507807194.03999996
97,1981,488734933.36
98,1982,490027949.42999995
99,1983,485216529.05999994
100,1984,491350063.2299999
101,1985,501481758.4900001
102,1986,529547033.59999996
103,1987,556821910.9000001
104,1988,579764111.78
105,1989,579322160.7200001
106,1990,582899883.16
107,1991,589056981.2299999
108,1992,598391020.75
109,1993,633087074.13
110,1994,651468399.4899999
111,1995,683957055.7299999
112,1996,715971309.4099998
113,1997,756548115.85
114,1998,810557826.1800001
115,1999,827122686.61
116,2000,806510211.4700003
117,2001,817299528.8000001
118,2002,827484787.3699999
119,2003,830726427.28
120,2004,839735630.6399999
121,2005,880560565.99
122,2006,902694370.2700001
123,2007,922838092.6600001
124,2008,987408360.73
125,2009,971673373.0400002
126,2010,1055676036.9200001
127,2011,1069283669.49
128,2012,1135799674.0900002
129,2013,1167028407.89
130,2014,1210871082.68
131,2015,1203520894.45
132,2016,1162696644.9
133,2017,1147072705.8200002
