,Entity,Year,count_of_disasters
63,Wildfire,1900,0
64,Wildfire,1901,0
65,Wildfire,1902,0
66,Wildfire,1903,0
67,Wildfire,1904,0
68,Wildfire,1905,0
69,Wildfire,1906,0
70,Wildfire,1907,0
71,Wildfire,1908,0
72,Wildfire,1909,0
73,Wildfire,1910,0
0,Wildfire,1911,1
74,Wildfire,1912,0
75,Wildfire,1913,0
76,Wildfire,1914,0
77,Wildfire,1915,0
78,Wildfire,1916,0
79,Wildfire,1917,0
1,Wildfire,1918,1
80,Wildfire,1919,0
81,Wildfire,1920,0
82,Wildfire,1921,0
2,Wildfire,1922,1
83,Wildfire,1923,0
84,Wildfire,1924,0
85,Wildfire,1925,0
86,Wildfire,1926,0
87,Wildfire,1927,0
88,Wildfire,1928,0
3,Wildfire,1929,1
89,Wildfire,1930,0
90,Wildfire,1931,0
91,Wildfire,1933,0
92,Wildfire,1934,0
93,Wildfire,1935,0
94,Wildfire,1936,0
95,Wildfire,1937,0
96,Wildfire,1938,0
4,Wildfire,1939,1
97,Wildfire,1940,0
98,Wildfire,1941,0
99,Wildfire,1942,0
100,Wildfire,1943,0
5,Wildfire,1944,2
101,Wildfire,1945,0
102,Wildfire,1946,0
6,Wildfire,1947,1
103,Wildfire,1948,0
7,Wildfire,1949,1
104,Wildfire,1950,0
105,Wildfire,1951,0
106,Wildfire,1952,0
107,Wildfire,1953,0
108,Wildfire,1954,0
109,Wildfire,1955,0
8,Wildfire,1956,1
110,Wildfire,1957,0
111,Wildfire,1958,0
112,Wildfire,1959,0
113,Wildfire,1960,0
114,Wildfire,1961,0
115,Wildfire,1962,0
116,Wildfire,1963,0
117,Wildfire,1964,0
9,Wildfire,1965,1
10,Wildfire,1966,1
11,Wildfire,1967,2
12,Wildfire,1968,3
13,Wildfire,1969,2
14,Wildfire,1970,3
15,Wildfire,1971,2
16,Wildfire,1972,3
17,Wildfire,1973,3
18,Wildfire,1974,3
19,Wildfire,1975,2
20,Wildfire,1976,1
21,Wildfire,1977,2
22,Wildfire,1978,3
23,Wildfire,1979,4
24,Wildfire,1980,4
25,Wildfire,1981,4
26,Wildfire,1982,3
27,Wildfire,1983,12
28,Wildfire,1984,7
29,Wildfire,1985,13
30,Wildfire,1986,6
31,Wildfire,1987,8
32,Wildfire,1989,3
33,Wildfire,1990,4
34,Wildfire,1991,8
35,Wildfire,1992,8
36,Wildfire,1993,2
37,Wildfire,1994,13
38,Wildfire,1995,7
39,Wildfire,1996,5
40,Wildfire,1997,16
41,Wildfire,1998,18
42,Wildfire,1999,22
43,Wildfire,2000,30
44,Wildfire,2001,14
45,Wildfire,2002,22
46,Wildfire,2003,14
47,Wildfire,2004,8
48,Wildfire,2005,13
49,Wildfire,2006,9
50,Wildfire,2007,18
51,Wildfire,2008,5
52,Wildfire,2009,9
53,Wildfire,2010,7
54,Wildfire,2011,8
55,Wildfire,2012,6
56,Wildfire,2013,10
57,Wildfire,2014,4
58,Wildfire,2015,12
59,Wildfire,2016,10
60,Wildfire,2017,13
61,Wildfire,2018,10
62,Wildfire,2019,13
