,Entity,Year,tonnes
229,World,503028,1575244297631.0
222,United States,503028,399378341401.0
64,EU-28,503028,352858255783.0
45,China,478404,200136494086.1
13,Asia and Pacific (other),503028,178057272136.0
72,Europe (other),503028,157540190080.0
173,Russia,117292,100589103946.5
4,Americas (other),503028,98641159641.7
83,Germany,430417,90565630028.29996
221,United Kingdom,503028,77071055648.40001
108,Japan,291375,62304608196.8
139,Middle East,503028,60473230860.95999
99,India,482436,48557863280.5
1,Africa,503028,43117573840.40001
77,France,401614,37768075471.599976
101,International transport,503028,36797914493.40001
39,Canada,442933,31913521876.399998
168,Poland,416053,26848816401.5
219,Ukraine,117292,25796386297.100002
106,Italy,306283,23645999964.04001
193,South Africa,261367,19787369761.819996
137,Mexico,248158,18971469004.739994
14,Australia,306283,17360810554.86
102,Iran,225398,16585684216.5
194,South Korea,144613,15786618228.53
31,Brazil,229203,14190905219.759998
196,Spain,361618,14136085451.680002
182,Saudi Arabia,160105,13843617871.16
100,Indonesia,251937,12430271015.7
110,Kazakhstan,117292,12300616895.0
22,Belgium,363420,12257548524.289999
150,Netherlands,332218,11308449554.73
58,Czechoslovakia,254166,11241448784.0
214,Turkey,296973,9602486274.139997
172,Romania,310000,8323783409.420002
57,Czech Republic,117292,8321584468.180001
205,Taiwan,238693,8050965636.82
10,Argentina,255712,7977373398.240003
226,Venezuela,206276,7572615003.089998
208,Thailand,165905,7013231542.030001
224,Uzbekistan,117292,6034285830.250002
66,Egypt,210148,5561231355.7699995
15,Austria,383489,5303713347.160002
129,Malaysia,236377,5181419716.839999
157,North Korea,144613,4966052271.319998
97,Hungary,361618,4870991389.839999
202,Sweden,346946,4858725461.040001
160,Pakistan,117292,4360589827.17
220,United Arab Emirates,117292,4154728972.8600006
3,Algeria,211998,4107869896.1299996
21,Belarus,117292,4058119852.0999994
60,Denmark,337750,3991753370.449999
103,Iraq,185227,3984084086.8600006
86,Greece,266844,3884493460.24
34,Bulgaria,270772,3703285888.569999
155,Nigeria,202498,3372735176.5399995
47,Colombia,190993,3110040938.7799993
76,Finland,306283,3065528408.3199997
227,Vietnam,199287,3016099138.38
167,Philippines,211953,2959759692.42
203,Switzerland,310000,2918791195.06
189,Slovakia,117292,2730069465.6999993
44,Chile,240588,2657499285.1
113,Kuwait,142668,2627361838.9900002
158,Norway,357948,2585216440.639999
169,Portugal,287638,2476694775.57
16,Azerbaijan,117292,2471780321.5200005
184,Serbia,117292,2381789223.7399993
105,Israel,173668,2221239489.27
215,Turkmenistan,117292,2183172084.7299995
104,Ireland,210001,2112667063.7400002
121,Libya,134878,1951955718.1300004
187,Singapore,121207,1936584508.4599996
170,Qatar,136827,1878554596.2200003
166,Peru,261367,1857299523.9199996
