,Year,tonnes per region
0,1751,0.011521641000000001
1,1800,2.3092471409999997
2,1801,2.253477765
3,1802,4.337326849000001
4,1803,2.475849045
5,1804,2.554015547
6,1805,2.550456177
7,1806,2.642948572
8,1807,2.727923348
9,1808,2.5832662879999995
10,1809,2.551891386
11,1810,2.5834581140000004
12,1811,2.7095621079999996
13,1812,2.7638957029999998
14,1813,2.7472236760000004
15,1814,2.775163017
16,1815,2.8196779849999998
17,1816,3.020200719
18,1817,3.0679333140000002
19,1818,3.0535708999999995
20,1819,3.084824742
21,1820,3.0962025370000004
22,1821,3.1041370980000003
23,1822,3.184283766
24,1823,3.324608297
25,1824,3.4212225170000004
26,1825,3.4782240829999997
27,1826,3.4853618069999994
28,1827,3.6512938630000003
29,1828,3.633827235
30,1829,3.610126723
31,1830,6.099824449000001
32,1831,5.4194538549999995
33,1832,5.4765218860000004
34,1833,5.429318553
35,1834,5.430573313
36,1835,5.5511892220000005
37,1836,6.374432819999999
38,1837,6.376326504000001
39,1838,6.530232219000001
40,1839,6.826151063
41,1840,7.313397478
42,1841,7.36731841
43,1842,7.700590858000001
44,1843,7.7263803090000005
45,1844,8.286835134
46,1845,8.953428553999998
47,1846,10.010859618
48,1847,10.858007916999998
49,1848,10.807895177999999
50,1849,11.062770374
51,1850,11.846366655999999
52,1851,11.751028167
53,1852,12.494670987000001
54,1853,12.994083221999999
55,1854,15.212317036
56,1855,14.973313220000001
57,1856,15.806225798999998
58,1857,15.880051708000002
59,1858,16.229928905
60,1859,16.754301916
61,1860,18.371230820000005
62,1861,19.403154586
63,1862,19.536571519000002
64,1863,19.914897135
65,1864,20.486790511000002
66,1865,21.859603844
67,1866,22.242141090000004
68,1867,23.760462652999998
69,1868,23.693845568
70,1869,24.460865795999997
71,1870,25.793914445
72,1871,27.280550728
73,1872,29.243911644
74,1873,30.632262203
75,1874,28.534911693
76,1875,30.167469454
77,1876,30.134974149
78,1877,29.958141877000003
79,1878,30.539984843999996
80,1879,32.493647269
81,1880,39.498975050000006
82,1881,37.523041961
83,1882,39.16853594300001
84,1883,41.605302349999995
85,1884,41.746603274
86,1885,41.821509027000005
87,1886,41.399558469000006
88,1887,43.229154058999995
89,1888,46.80251499299999
90,1889,47.065782649
91,1890,49.27044276500001
92,1891,51.25686652300001
93,1892,50.773594605999996
94,1893,50.004193099000005
95,1894,52.68826518299999
96,1895,54.422399516999995
97,1896,56.645649016
98,1897,58.73359328000001
99,1898,61.160008033
100,1899,65.100300641
101,1900,69.38859427800001
102,1901,70.558344236
103,1902,71.738043016
104,1903,75.69435875399999
105,1904,76.92543912699999
106,1905,79.42339935700001
107,1906,84.625031514
108,1907,92.757033419
109,1908,94.93507818700003
110,1909,92.69495285199999
111,1910,98.81962307099998
112,1911,99.75223723100002
113,1912,104.27751659099998
114,1913,111.76972781500004
115,1914,99.58335784900001
116,1915,94.201909233
117,1916,96.67143294299997
118,1917,91.83826492800002
119,1918,93.36048488200001
120,1919,84.95591059
121,1920,100.738594498
122,1921,92.57693743599998
123,1922,98.176584883
124,1923,107.53390448099998
125,1924,113.516078587
126,1925,112.956018262
127,1926,109.48116590199999
128,1927,121.28974955500001
129,1928,122.94671503699998
130,1929,132.420023692
131,1930,122.48208988699999
132,1931,110.10957424999997
133,1932,100.89072552
134,1933,105.94404450300001
135,1934,117.33647224500004
136,1935,124.23257891999995
137,1936,146.35307051499996
138,1937,177.02717621600002
139,1938,171.91001733800002
140,1939,245.45340699899995
141,1940,252.09872855000003
142,1941,220.27787286400005
143,1942,198.94398223300004
144,1943,217.52346060099995
145,1944,226.83121410100006
146,1945,168.964993625
147,1946,224.44218723500015
148,1947,371.7580368100003
149,1948,204.21191303499998
150,1949,469.51509747999984
151,1950,221.87754180700009
152,1951,232.16265380500002
153,1952,228.46615958599997
154,1953,228.984077138
155,1954,249.40418233400004
156,1955,265.4947932450001
157,1956,268.926125399
158,1957,273.29747027800005
159,1958,275.148876534
160,1959,381.6697526419997
161,1960,405.95886469100003
162,1961,428.03068098000006
163,1962,457.255850348
164,1963,562.4734479580002
165,1964,604.9222170740004
166,1965,627.573988692
167,1966,623.923260817
168,1967,637.6884783009998
169,1968,667.6532945139998
170,1969,795.3684337139994
171,1970,854.4078592259998
172,1971,907.8303051219995
173,1972,931.8656077419998
174,1973,987.3314668620001
175,1974,927.5292254359997
176,1975,909.0120815000004
177,1976,913.6953745840001
178,1977,928.7031785280002
179,1978,945.8003821180002
180,1979,948.1224155829998
181,1980,928.5623311099997
182,1981,843.6335006499999
183,1982,821.431441763
184,1983,796.256206005
185,1984,812.5229005669995
186,1985,834.7240949970001
187,1986,839.040336374
188,1987,841.5893867940001
189,1988,860.8729759479995
190,1989,879.3252269530002
191,1990,881.3895618729998
192,1991,858.1718692529996
193,1992,864.7208447829995
194,1993,869.6366447120001
195,1994,863.100924069
196,1995,858.2254788530007
197,1996,859.0625717489997
198,1997,867.3795741670006
199,1998,866.1629134909999
200,1999,854.1473575959998
201,2000,878.7641457820004
202,2001,888.0960117319999
203,2002,884.272209253
204,2003,907.5256924369997
205,2004,915.6586320869999
206,2005,921.0004463360001
207,2006,933.0686351749995
208,2007,944.3122224900004
209,2008,943.5595815619996
210,2009,898.6088847370003
211,2010,916.8989946920002
212,2011,907.5722184170002
213,2012,907.6794076540003
214,2013,893.0128324709995
215,2014,890.2301556870001
216,2015,901.3995318699991
217,2016,899.3155947450001
218,2017,908.860531618
