,Year,tonnes
0,1751,28051584.0
1,1752,28062576.0
2,1753,28062576.0
3,1754,28073568.0
4,1755,28084560.0
5,1756,30019152.0
6,1757,30030144.0
7,1758,30041136.0
8,1759,30052128.0
9,1760,30052128.0
10,1761,32921040.0
11,1762,32932032.0
12,1763,32943024.0
13,1764,32954016.0
14,1765,32965008.0
15,1766,36779232.0
16,1767,36790224.0
17,1768,36801216.0
18,1769,36812208.0
19,1770,36823200.0
20,1771,40835280.0
21,1772,40846272.0
22,1773,40857264.0
23,1774,40868256.0
24,1775,40879248.0
25,1776,45111168.0
26,1777,45122160.0
27,1778,45133152.0
28,1779,45144144.0
29,1780,45166128.0
30,1781,50530224.0
31,1782,50541216.0
32,1783,50563200.0
33,1784,50574192.0
34,1785,50607168.0
35,1786,57455184.0
36,1787,57477168.0
37,1788,57488160.0
38,1789,57510144.0
39,1790,57532128.0
40,1791,64259232.0
41,1792,65688192.0
42,1793,65743152.0
43,1794,65644224.0
44,1795,65677200.0
45,1796,68853888.0
46,1797,72283392.0
47,1798,75284208.0
48,1799,79285296.0
49,1800,84022848.0
50,1801,83612480.0
51,1802,110059232.0
52,1803,94168464.0
53,1804,102595664.0
54,1805,99917280.0
55,1806,104805056.0
56,1807,110246096.0
57,1808,104801392.0
58,1809,104867344.0
59,1810,111722688.0
60,1811,118299568.0
61,1812,122538816.0
62,1813,123139712.0
63,1814,125825424.0
64,1815,129863152.0
65,1816,142331744.0
66,1817,147574928.0
67,1818,148150176.0
68,1819,149080832.0
69,1820,151271904.0
70,1821,153477632.0
71,1822,159530560.0
72,1823,168749184.0
73,1824,174560288.0
74,1825,181133504.0
75,1826,182943520.0
76,1827,196298800.0
77,1828,198317664.0
78,1829,197390672.0
79,1830,265269936.0
80,1831,251299104.0
81,1832,252295712.0
82,1833,256875712.0
83,1834,262074928.0
84,1835,267021328.0
85,1836,309593344.0
86,1837,308768944.0
87,1838,319097760.0
88,1839,329320320.0
89,1840,350919600.0
90,1841,361640464.0
91,1842,381590944.0
92,1843,390798576.0
93,1844,414973648.0
94,1845,454431264.0
95,1846,460674720.0
96,1847,502132880.0
97,1848,504661040.0
98,1849,532313248.0
99,1850,570777920.0
100,1851,571719568.0
101,1852,595814032.0
102,1853,621359440.0
103,1854,732133152.0
104,1855,741850080.0
105,1856,791654832.0
106,1857,798407584.0
107,1858,810256960.0
108,1859,857925600.0
109,1860,944014944.0
110,1861,996816848.0
111,1862,1014121920.0
112,1863,1078150320.0
113,1864,1161880048.0
114,1865,1237413408.0
115,1866,1276119904.0
116,1867,1359369648.0
117,1868,1389128656.0
118,1869,1468197776.0
119,1870,1497139712.0
120,1871,1592590576.0
121,1872,1750116928.0
122,1873,1854705808.0
123,1874,1731269312.0
124,1875,1887634176.0
125,1876,1918448416.0
126,1877,1944924480.0
127,1878,1958620512.0
128,1879,2078832688.0
129,1880,2350052960.0
130,1881,2424692304.0
131,1882,2547044256.0
132,1883,2703522704.0
133,1884,2724293920.0
134,1885,2741859136.0
135,1886,2773831200.0
136,1887,2907285072.0
137,1888,3186562480.0
138,1889,3222641888.0
139,1890,3474794704.0
140,1891,3627792352.0
141,1892,3623739968.0
142,1893,3565039024.0
143,1894,3734803136.0
144,1895,3926379040.0
145,1896,4069458240.0
146,1897,4260480880.0
147,1898,4472289392.0
148,1899,4851964064.0
149,1900,5108103312.0
150,1901,5239882736.0
151,1902,5351425888.0
152,1903,5785419360.0
153,1904,5861179888.0
154,1905,6207230032.0
155,1906,6496920528.0
156,1907,7317678512.0
157,1908,7131657232.0
158,1909,7345491936.0
159,1910,7666381392.0
160,1911,7830667824.0
161,1912,8182888144.0
162,1913,8861248432.0
163,1914,8027175472.0
164,1915,7855300896.0
165,1916,8436935248.0
166,1917,8758473232.0
167,1918,8591904128.0
168,1919,7463978368.0
169,1920,8686021296.0
170,1921,7706117472.0
171,1922,8133409488.0
172,1923,8964349728.0
173,1924,9183050224.0
174,1925,9217074128.0
175,1926,8866213152.0
176,1927,9890542976.0
177,1928,9919946576.0
178,1929,10666046896.0
179,1930,9857896736.0
180,1931,8825641680.0
181,1932,7994679456.0
182,1933,8381711440.0
183,1934,9115247904.0
184,1935,9558313440.0
185,1936,10411010512.0
186,1937,11208344544.0
187,1938,10682311392.0
188,1939,11227866336.0
189,1940,12130566016.0
190,1941,12356803360.0
191,1942,12401342944.0
192,1943,12776045568.0
193,1944,12502762464.0
194,1945,9951108896.0
195,1946,11047634176.0
196,1947,12188600112.0
197,1948,12815631424.0
198,1949,12391314576.0
199,1950,13446487952.0
200,1951,14529049728.0
201,1952,14732914688.0
202,1953,15132404272.0
203,1954,15525723680.0
204,1955,16948469536.0
205,1956,18037751088.0
206,1957,18624987696.0
207,1958,19130154368.0
208,1959,23070359448.760002
209,1960,24247685902.980003
210,1961,24566602211.45
211,1962,25660710481.949997
212,1963,27146952806.030006
213,1964,28702323348.95001
214,1965,29988950026.629993
215,1966,31414251316.16999
216,1967,32488390505.619995
217,1968,34217171616.089996
218,1969,36324283109.30999
219,1970,38984043969.5
220,1971,40554920231.96999
221,1972,42191297490.679985
222,1973,44515526156.96
223,1974,44684303014.81001
224,1975,44530947171.76
225,1976,47126900548.19001
226,1977,48465796970.16
227,1978,49246410172.869995
228,1979,51750514680.86
229,1980,51454266527.49002
230,1981,49938200947.240005
231,1982,49599772154.24001
232,1983,49490824442.21999
233,1984,51095729286.569984
234,1985,52724197442.73998
235,1986,54062996749.610016
236,1987,55432795656.9
237,1988,57362016945.53
238,1989,58477796058.17
239,1990,58561109474.420006
240,1991,58968859461.569984
241,1992,57830697575.619995
242,1993,57664544081.23001
243,1994,58251833450.13001
244,1995,59308766781.18999
245,1996,60592015972.28001
246,1997,61346687788.34
247,1998,61455460572.329994
248,1999,61501461784.11001
249,2000,63142083490.62999
250,2001,64545198190.37998
251,2002,65385061706.50997
252,2003,68598883674.44
253,2004,71609395740.25996
254,2005,73924911898.35002
255,2006,76316780616.04
256,2007,77697425502.38998
257,2008,79909479939.98001
258,2009,78673014907.57996
259,2010,82381091860.37001
260,2011,85243609937.75002
261,2012,86650795327.65002
262,2013,87007446549.57999
263,2014,87620961326.15002
264,2015,87686547898.35999
265,2016,88249617532.29005
266,2017,89472750829.83
