,Year,tonnes per region
0,1800,0.0
1,1801,0.0
2,1802,0.0
3,1803,0.0
4,1804,0.0
5,1805,0.0
6,1806,0.0
7,1807,0.0
8,1808,0.0
9,1809,0.0
10,1810,0.0
11,1811,0.0
12,1812,0.0
13,1813,0.0
14,1814,0.0
15,1815,0.0
16,1816,0.0
17,1817,0.0
18,1818,0.0
19,1819,0.0
20,1820,0.0
21,1821,0.0
22,1822,0.0
23,1823,0.0
24,1824,0.0
25,1825,0.0
26,1826,0.0
27,1827,0.0
28,1828,0.0
29,1829,0.0
30,1830,0.0
31,1831,0.0
32,1832,0.0
33,1833,0.0
34,1834,0.0
35,1835,0.0
36,1836,0.0
37,1837,0.0
38,1838,0.0
39,1839,0.0
40,1840,0.0
41,1841,0.0
42,1842,0.0
43,1843,0.0
44,1844,0.0
45,1845,0.0
46,1846,0.0
47,1847,0.0
48,1848,0.0
49,1849,0.0
50,1850,0.0
51,1851,0.0
52,1852,0.0
53,1853,0.0
54,1854,0.0
55,1855,0.0
56,1856,0.0
57,1857,0.0
58,1858,0.002144934
59,1859,0.0034464440000000003
60,1860,0.003467965
61,1861,0.002670322
62,1862,0.0029429029999999998
63,1863,0.00324846
64,1864,0.003059125
65,1865,0.015886659
66,1866,0.021217780000000002
67,1867,0.019339426
68,1868,0.015229271999999999
69,1869,0.023106991999999996
70,1870,0.013767100999999999
71,1871,0.017285171
72,1872,0.021378097
73,1873,0.020888728999999998
74,1874,0.037682571
75,1875,0.06919619099999999
76,1876,0.06147751
77,1877,0.07198549500000001
78,1878,0.08619393
79,1879,0.081495318
80,1880,0.083986607
81,1881,0.088473354
82,1882,0.089852513
83,1883,0.096226689
84,1884,0.10447270900000001
85,1885,0.11405808699999999
86,1886,0.11673887000000001
87,1887,0.14794664500000002
88,1888,0.16777746999999998
89,1889,0.207042168
90,1890,0.22212064399999998
91,1891,0.26533977
92,1892,0.302271629
93,1893,0.33257155599999993
94,1894,0.38224615400000006
95,1895,0.44397828400000006
96,1896,0.48706041499999997
97,1897,0.508500179
98,1898,0.66157482
99,1899,0.6544800810000001
100,1900,0.698512707
101,1901,0.820666559
102,1902,0.8663762639999999
103,1903,0.925686
104,1904,1.0244424129999998
105,1905,1.077983112
106,1906,1.1955114800000002
107,1907,1.3287617019999998
108,1908,1.4131927099999997
109,1909,1.492410285
110,1910,1.568889646
111,1911,1.650192736
112,1912,1.697926861
113,1913,1.909275834
114,1914,2.0398871720000002
115,1915,1.961305837
116,1916,2.3055714699999994
117,1917,2.6647866139999996
118,1918,2.89539676
119,1919,3.394987919
120,1920,3.5265520980000002
121,1921,3.5159452780000002
122,1922,4.103389961
123,1923,4.621139931
124,1924,5.007228021999999
125,1925,5.202767527000001
126,1926,5.39432382
127,1927,5.717873788
128,1928,6.034674628000001
129,1929,6.119106518
130,1930,6.0045433610000005
131,1931,5.349868209
132,1932,5.200421009999999
133,1933,5.844679135000001
134,1934,9.132003415000002
135,1935,13.458964053999999
136,1936,29.337487761000002
137,1937,46.36822160399999
138,1938,48.43174817800001
139,1939,116.088124719
140,1940,121.13275918000002
141,1941,89.48625885300001
142,1942,66.82540109999998
143,1943,84.37878269699999
144,1944,100.65194110200001
145,1945,62.481046754
146,1946,87.660995222
147,1947,232.69444586300006
148,1948,58.23906464800002
149,1949,325.5579382019999
150,1950,46.283084771999995
151,1951,40.003651751
152,1952,32.8227651
153,1953,35.980059053
154,1954,52.348719824999996
155,1955,51.48025173700001
156,1956,46.876393914999994
157,1957,46.922339660999995
158,1958,54.23488377199999
159,1959,97.61302984699994
160,1960,108.21484941399997
161,1961,119.48084702199999
162,1962,131.571050673
163,1963,230.334222289
164,1964,243.81889794699995
165,1965,253.50311773800001
166,1966,240.72802828000002
167,1967,229.00738651699993
168,1968,226.73023347899996
169,1969,324.6576569349999
170,1970,358.6842881340001
171,1971,381.56760506899985
172,1972,399.8472877180001
173,1973,421.23858436600005
174,1974,369.03270667100014
175,1975,350.58866219599986
176,1976,353.671113079
177,1977,341.6366602049999
178,1978,362.008111742
179,1979,351.31413294400005
180,1980,334.1288856849999
181,1981,290.32560984599996
182,1982,281.971800062
183,1983,273.63029134299995
184,1984,280.1916829980001
185,1985,289.46943216899996
186,1986,291.54622156599993
187,1987,286.92466235100005
188,1988,302.740103596
189,1989,309.996480147
190,1990,299.355184663
191,1991,290.776330155
192,1992,309.83334252000003
193,1993,327.487553064
194,1994,329.242427524
195,1995,328.3924198049999
196,1996,314.80356577400005
197,1997,326.41603690599993
198,1998,321.475008978
199,1999,312.26547926499995
200,2000,333.596600916
201,2001,328.8590929530001
202,2002,323.06688497999994
203,2003,329.535309088
204,2004,330.54063822699993
205,2005,335.24265375899984
206,2006,342.46625357
207,2007,345.96348287199993
208,2008,350.310272774
209,2009,338.5480943460001
210,2010,341.5713327270001
211,2011,346.19455076
212,2012,353.74162694500006
213,2013,343.855238542
214,2014,352.8842032360002
215,2015,364.902924559
216,2016,364.58209999700006
217,2017,368.22759983500004
