,Entity,Year,Number of reported natural disasters (reported disasters)
120,Drought,1900,2
121,Drought,1903,1
122,Drought,1906,1
123,Drought,1910,9
124,Drought,1919,1
125,Drought,1920,2
126,Drought,1921,1
127,Drought,1928,1
128,Drought,1931,1
129,Drought,1933,1
130,Drought,1940,9
131,Drought,1942,1
132,Drought,1943,1
133,Drought,1946,1
134,Drought,1947,1
135,Drought,1960,1
136,Drought,1961,1
137,Drought,1963,1
138,Drought,1964,7
139,Drought,1965,7
140,Drought,1966,9
141,Drought,1967,5
142,Drought,1968,7
143,Drought,1969,10
144,Drought,1970,2
145,Drought,1971,7
146,Drought,1972,7
147,Drought,1973,2
148,Drought,1974,4
149,Drought,1975,1
150,Drought,1976,6
151,Drought,1977,16
152,Drought,1978,9
153,Drought,1979,11
154,Drought,1980,14
155,Drought,1981,13
156,Drought,1982,13
157,Drought,1983,32
158,Drought,1984,8
159,Drought,1985,3
160,Drought,1986,4
161,Drought,1987,15
162,Drought,1988,17
163,Drought,1989,7
164,Drought,1990,12
165,Drought,1991,18
166,Drought,1992,12
167,Drought,1993,9
168,Drought,1994,13
169,Drought,1995,6
170,Drought,1996,6
171,Drought,1997,18
172,Drought,1998,20
173,Drought,1999,23
174,Drought,2000,27
175,Drought,2001,22
176,Drought,2002,25
177,Drought,2003,14
178,Drought,2004,11
179,Drought,2005,20
180,Drought,2006,9
181,Drought,2007,11
182,Drought,2008,16
183,Drought,2009,18
184,Drought,2010,17
185,Drought,2011,17
186,Drought,2012,21
187,Drought,2013,9
188,Drought,2014,18
189,Drought,2015,28
190,Drought,2016,15
191,Drought,2017,7
192,Drought,2018,13
193,Drought,2019,15
310,Extreme temperature,1936,2
311,Extreme temperature,1951,2
312,Extreme temperature,1953,3
313,Extreme temperature,1955,1
314,Extreme temperature,1958,2
315,Extreme temperature,1961,1
316,Extreme temperature,1962,1
317,Extreme temperature,1963,2
318,Extreme temperature,1965,1
319,Extreme temperature,1966,2
320,Extreme temperature,1968,2
321,Extreme temperature,1971,1
322,Extreme temperature,1972,2
323,Extreme temperature,1973,3
324,Extreme temperature,1975,3
325,Extreme temperature,1977,1
326,Extreme temperature,1978,1
327,Extreme temperature,1979,4
328,Extreme temperature,1980,3
329,Extreme temperature,1981,2
330,Extreme temperature,1982,3
331,Extreme temperature,1983,2
332,Extreme temperature,1984,1
333,Extreme temperature,1985,8
334,Extreme temperature,1986,2
335,Extreme temperature,1987,6
336,Extreme temperature,1988,6
337,Extreme temperature,1989,5
338,Extreme temperature,1990,13
339,Extreme temperature,1991,8
340,Extreme temperature,1992,7
341,Extreme temperature,1993,4
342,Extreme temperature,1994,9
343,Extreme temperature,1995,13
344,Extreme temperature,1996,5
345,Extreme temperature,1997,13
346,Extreme temperature,1998,12
347,Extreme temperature,1999,8
348,Extreme temperature,2000,31
349,Extreme temperature,2001,23
350,Extreme temperature,2002,15
351,Extreme temperature,2003,25
352,Extreme temperature,2004,16
353,Extreme temperature,2005,30
354,Extreme temperature,2006,24
355,Extreme temperature,2007,25
356,Extreme temperature,2008,10
357,Extreme temperature,2009,25
358,Extreme temperature,2010,29
359,Extreme temperature,2011,16
360,Extreme temperature,2012,51
361,Extreme temperature,2013,14
362,Extreme temperature,2014,17
363,Extreme temperature,2015,12
364,Extreme temperature,2016,12
365,Extreme temperature,2017,11
366,Extreme temperature,2018,25
367,Extreme temperature,2019,20
368,Extreme weather,1900,1
369,Extreme weather,1902,1
370,Extreme weather,1903,2
371,Extreme weather,1904,1
372,Extreme weather,1905,1
373,Extreme weather,1906,3
374,Extreme weather,1909,5
375,Extreme weather,1910,1
376,Extreme weather,1911,2
377,Extreme weather,1912,5
378,Extreme weather,1913,1
379,Extreme weather,1914,1
380,Extreme weather,1915,2
381,Extreme weather,1916,1
382,Extreme weather,1917,2
383,Extreme weather,1918,1
384,Extreme weather,1919,2
385,Extreme weather,1920,1
386,Extreme weather,1922,2
387,Extreme weather,1923,6
