,Year,tonnes per region
0,1800,2.238021607
1,1801,2.20929122
2,1802,4.290827719
3,1803,2.429175073
4,1804,2.503198549
5,1805,2.499585525
6,1806,2.593964919
7,1807,2.6741787209999996
8,1808,2.5286555309999996
9,1809,2.496919798
10,1810,2.5280668100000003
11,1811,2.6517628449999995
12,1812,2.703000467
13,1813,2.683425203
14,1814,2.708244037
15,1815,2.749840895
16,1816,2.9453111869999997
17,1817,2.9890464889999997
18,1818,2.970199799
19,1819,3.005217067
20,1820,3.015656068
21,1821,3.0221036690000003
22,1822,3.100931578
23,1823,3.240096368
24,1824,3.3289909680000003
25,1825,3.378140969
26,1826,3.3730846239999996
27,1827,3.531400565
28,1828,3.5056802030000003
29,1829,3.4700846389999995
30,1830,5.941850102
31,1831,5.253202066
32,1832,5.261765358
33,1833,5.1861615279999995
34,1834,5.203998233
35,1835,5.270920058
36,1836,6.076234791999999
37,1837,6.0516533930000005
38,1838,6.231006071000001
39,1839,6.507467782000001
40,1840,6.983952209
41,1841,7.028925822
42,1842,7.335037666000001
43,1843,7.32838508
44,1844,7.824077183000001
45,1845,8.412984446
46,1846,9.405866428
47,1847,10.160681518
48,1848,10.052549614999998
49,1849,10.265289366
50,1850,10.846819019000002
51,1851,10.733407999
52,1852,11.416835749999999
53,1853,11.81255328
54,1854,13.945823264000001
55,1855,13.553928641999999
56,1856,14.350427174999998
57,1857,14.416893185
58,1858,14.768525888000001
59,1859,15.195599148999998
60,1860,16.544179848000002
61,1861,17.479670192
62,1862,17.695760373000002
63,1863,17.835401946
64,1864,18.40152366
65,1865,19.668299806
66,1866,19.852049662
67,1867,20.851502576
68,1868,20.881122545
69,1869,21.55180244
70,1870,22.712957638
71,1871,23.967206071000003
72,1872,25.435137371000003
73,1873,26.572312838
74,1874,24.651350192000002
75,1875,26.284709917999997
76,1876,26.354834714000003
77,1877,25.85155631
78,1878,25.869279828000003
79,1879,26.710298383
80,1880,32.083178191
81,1881,30.029491219999997
82,1882,30.884359127000003
83,1883,32.647991743999995
84,1884,32.196926058
85,1885,32.224092014
86,1886,31.541811424000002
87,1887,32.446653909999995
88,1888,34.168894596
89,1889,35.510606071
90,1890,36.520567924
91,1891,37.820822227
92,1892,36.966405398
93,1893,35.80689241700001
94,1894,38.76237933400001
95,1895,39.473027810999994
96,1896,41.288310210000006
97,1897,42.94158333499999
98,1898,43.982303288
99,1899,46.32676863100001
100,1900,48.267329472
101,1901,46.848972411000005
102,1902,46.584465761000004
103,1903,48.222465682999996
104,1904,48.47165137299999
105,1905,49.20840267800001
106,1906,52.235900400000006
107,1907,56.55137497800001
108,1908,60.06220798900001
109,1909,57.70066517000001
110,1910,60.052215774000004
111,1911,59.83569313299999
112,1912,62.23164315799999
113,1913,67.29406489399999
114,1914,57.63744355600001
115,1915,53.59465776799999
116,1916,52.055384554999996
117,1917,43.757224347
118,1918,43.227877893000006
119,1919,39.328234544
120,1920,48.540612732999996
121,1921,43.76030817099999
122,1922,50.98008610999999
123,1923,52.669194366000006
124,1924,60.282112145000006
125,1925,59.184127915999994
126,1926,54.185422583999994
127,1927,65.81992909200002
128,1928,65.02303858900001
129,1929,72.40622873199999
130,1930,67.21131030999999
131,1931,63.699542042999994
132,1932,56.949982477999995
133,1933,58.226658863
134,1934,61.44334223299999
135,1935,61.907598949
136,1936,64.72059594500001
137,1937,71.064955717
138,1938,66.096854643
139,1939,67.36289214300001
140,1940,63.24361090399999
141,1941,61.901970723
142,1942,60.77967461399999
143,1943,62.578919707999994
144,1944,52.677014969999995
145,1945,35.563866110999996
146,1946,53.27033511
147,1947,65.28882727599999
148,1948,69.112153089
149,1949,70.14395923600001
150,1950,102.20276778899999
151,1951,114.31889566599999
152,1952,116.37388393199998
153,1953,114.961252918
154,1954,118.75072811100003
155,1955,129.804977832
156,1956,135.28702175499998
157,1957,137.567761289
158,1958,133.404972928
159,1959,198.78226042500003
160,1960,210.09610378800005
161,1961,213.46771645600003
162,1962,222.54515193200004
163,1963,234.460518465
164,1964,245.95652669
165,1965,250.80158240700004
166,1966,256.991047197
167,1967,259.026419292
168,1968,274.619843061
169,1969,287.2715656640001
170,1970,305.646591573
171,1971,309.928441427
172,1972,320.111487548
173,1973,335.7614757889999
174,1974,330.60588141700015
175,1975,323.03225207
176,1976,337.41704898700004
177,1977,337.2824916950001
178,1978,349.40844569600006
179,1979,358.1233364639999
180,1980,351.420208478
181,1981,337.87608316200004
182,1982,329.00787975500003
183,1983,324.71658713
184,1984,330.9295430070001
185,1985,341.296993452
186,1986,345.54563123299994
187,1987,349.911012874
188,1988,348.674861934
189,1989,352.31354027399993
190,1990,369.97243437300006
191,1991,357.99793907400004
192,1992,341.52233887400007
193,1993,325.1670719090001
194,1994,314.34744238400003
195,1995,305.2268514980001
196,1996,314.710469416
197,1997,309.120714875
198,1998,306.13798565500014
199,1999,297.4351647490001
200,2000,300.44518077799995
201,2001,306.59942309600007
202,2002,309.129052947
203,2003,320.10513595400005
204,2004,324.4670127550001
205,2005,323.31718066099995
206,2006,327.86206685300004
207,2007,333.5123902319999
208,2008,328.742445898
209,2009,301.65937161299996
210,2010,313.190823539
211,2011,305.03543952699994
212,2012,296.511542664
213,2013,290.00342558600005
214,2014,279.744837432
215,2015,278.177072518
216,2016,280.749680774
217,2017,286.348344007
