,Year,Glob,NHem,SHem,Farenheight
0,1880,-0.16,-0.27,-0.05,-0.29
1,1881,-0.08,-0.16,0.0,-0.14
2,1882,-0.1,-0.19,-0.01,-0.18
3,1883,-0.16,-0.26,-0.07,-0.29
4,1884,-0.28,-0.41,-0.15,-0.5
5,1885,-0.32,-0.41,-0.24,-0.58
6,1886,-0.3,-0.41,-0.2,-0.54
7,1887,-0.35,-0.41,-0.29,-0.63
8,1888,-0.16,-0.21,-0.12,-0.29
9,1889,-0.1,-0.15,-0.05,-0.18
10,1890,-0.35,-0.37,-0.33,-0.63
11,1891,-0.22,-0.24,-0.2,-0.4
12,1892,-0.27,-0.38,-0.16,-0.49
13,1893,-0.31,-0.46,-0.16,-0.56
14,1894,-0.3,-0.37,-0.22,-0.54
15,1895,-0.22,-0.28,-0.16,-0.4
16,1896,-0.11,-0.18,-0.04,-0.2
17,1897,-0.11,-0.15,-0.06,-0.2
18,1898,-0.26,-0.26,-0.27,-0.47
19,1899,-0.17,-0.19,-0.15,-0.31
20,1900,-0.08,-0.07,-0.07,-0.14
21,1901,-0.15,-0.11,-0.19,-0.27
22,1902,-0.28,-0.32,-0.23,-0.5
23,1903,-0.37,-0.37,-0.37,-0.67
24,1904,-0.47,-0.47,-0.47,-0.85
25,1905,-0.26,-0.28,-0.24,-0.47
26,1906,-0.22,-0.22,-0.22,-0.4
27,1907,-0.39,-0.46,-0.31,-0.7
28,1908,-0.43,-0.44,-0.41,-0.77
29,1909,-0.48,-0.48,-0.49,-0.86
30,1910,-0.43,-0.43,-0.43,-0.77
31,1911,-0.44,-0.42,-0.46,-0.79
32,1912,-0.36,-0.45,-0.25,-0.65
33,1913,-0.34,-0.42,-0.27,-0.61
34,1914,-0.15,-0.19,-0.12,-0.27
35,1915,-0.14,-0.14,-0.14,-0.25
36,1916,-0.36,-0.41,-0.31,-0.65
37,1917,-0.46,-0.57,-0.36,-0.83
38,1918,-0.29,-0.39,-0.2,-0.52
39,1919,-0.27,-0.34,-0.21,-0.49
40,1920,-0.27,-0.3,-0.25,-0.49
41,1921,-0.19,-0.11,-0.27,-0.34
42,1922,-0.28,-0.27,-0.3,-0.5
43,1923,-0.26,-0.21,-0.31,-0.47
44,1924,-0.27,-0.18,-0.36,-0.49
45,1925,-0.22,-0.14,-0.3,-0.4
46,1926,-0.1,0.02,-0.22,-0.18
47,1927,-0.22,-0.13,-0.3,-0.4
48,1928,-0.2,-0.09,-0.29,-0.36
49,1929,-0.36,-0.33,-0.38,-0.65
50,1930,-0.16,-0.01,-0.29,-0.29
51,1931,-0.1,0.05,-0.22,-0.18
52,1932,-0.16,-0.06,-0.26,-0.29
53,1933,-0.29,-0.26,-0.32,-0.52
54,1934,-0.13,0.0,-0.26,-0.23
55,1935,-0.2,-0.09,-0.3,-0.36
56,1936,-0.15,-0.03,-0.26,-0.27
57,1937,-0.03,0.12,-0.18,-0.05
58,1938,-0.01,0.16,-0.18,-0.02
59,1939,-0.02,0.09,-0.13,-0.04
60,1940,0.13,0.18,0.09,0.23
61,1941,0.19,0.23,0.17,0.34
62,1942,0.07,0.13,0.01,0.13
63,1943,0.09,0.18,-0.01,0.16
64,1944,0.2,0.27,0.14,0.36
65,1945,0.09,0.1,0.09,0.16
66,1946,-0.07,0.03,-0.17,-0.13
67,1947,-0.03,0.08,-0.14,-0.05
68,1948,-0.11,-0.02,-0.2,-0.2
69,1949,-0.11,-0.03,-0.2,-0.2
70,1950,-0.17,-0.15,-0.21,-0.31
71,1951,-0.07,0.05,-0.18,-0.13
72,1952,0.01,0.06,-0.04,0.02
73,1953,0.08,0.24,-0.08,0.14
74,1954,-0.13,-0.02,-0.25,-0.23
75,1955,-0.14,-0.09,-0.2,-0.25
76,1956,-0.19,-0.23,-0.16,-0.34
77,1957,0.05,0.04,0.06,0.09
78,1958,0.06,0.15,-0.02,0.11
79,1959,0.03,0.12,-0.06,0.05
80,1960,-0.02,0.08,-0.12,-0.04
81,1961,0.06,0.08,0.03,0.11
82,1962,0.04,0.13,-0.06,0.07
83,1963,0.05,0.14,-0.03,0.09
84,1964,-0.2,-0.19,-0.21,-0.36
85,1965,-0.11,-0.14,-0.07,-0.2
86,1966,-0.06,-0.02,-0.09,-0.11
87,1967,-0.02,0.03,-0.08,-0.04
88,1968,-0.08,-0.07,-0.09,-0.14
89,1969,0.05,-0.03,0.15,0.09
90,1970,0.02,-0.04,0.09,0.04
91,1971,-0.08,-0.15,-0.02,-0.14
92,1972,0.01,-0.17,0.19,0.02
93,1973,0.16,0.1,0.23,0.29
94,1974,-0.07,-0.18,0.03,-0.13
95,1975,-0.01,-0.05,0.02,-0.02
96,1976,-0.1,-0.21,0.0,-0.18
97,1977,0.18,0.12,0.23,0.32
98,1978,0.07,0.02,0.11,0.13
99,1979,0.16,0.09,0.25,0.29
100,1980,0.26,0.17,0.35,0.47
101,1981,0.32,0.37,0.27,0.58
102,1982,0.14,0.06,0.22,0.25
103,1983,0.31,0.25,0.37,0.56
104,1984,0.15,0.04,0.27,0.27
105,1985,0.11,0.0,0.23,0.2
106,1986,0.18,0.13,0.23,0.32
107,1987,0.32,0.25,0.4,0.58
108,1988,0.38,0.37,0.39,0.68
109,1989,0.27,0.27,0.27,0.49
110,1990,0.45,0.53,0.37,0.81
111,1991,0.4,0.41,0.39,0.72
112,1992,0.22,0.14,0.3,0.4
113,1993,0.23,0.19,0.27,0.41
114,1994,0.32,0.37,0.26,0.58
115,1995,0.45,0.58,0.31,0.81
116,1996,0.33,0.26,0.39,0.59
117,1997,0.47,0.52,0.41,0.85
118,1998,0.61,0.71,0.52,1.1
119,1999,0.39,0.48,0.29,0.7
120,2000,0.39,0.5,0.29,0.7
121,2001,0.54,0.64,0.43,0.97
122,2002,0.63,0.72,0.54,1.13
123,2003,0.62,0.75,0.5,1.12
124,2004,0.54,0.66,0.42,0.97
125,2005,0.68,0.86,0.51,1.22
126,2006,0.64,0.82,0.46,1.15
127,2007,0.66,0.85,0.46,1.19
128,2008,0.54,0.68,0.4,0.97
129,2009,0.66,0.73,0.59,1.19
130,2010,0.72,0.9,0.55,1.3
131,2011,0.61,0.75,0.46,1.1
132,2012,0.64,0.82,0.47,1.15
133,2013,0.68,0.8,0.56,1.22
